Processes,Size,Latency
2,2,0.57
2,4,0.59
2,8,0.57
2,16,0.57
2,32,0.69
2,64,0.68
2,128,0.82
2,256,0.87
2,512,1.1
2,1024,1.21
2,2048,1.63
2,4096,2.31
2,8192,3.58
2,16384,2.87
2,32768,4.41
2,65536,5.91
2,131072,11.78
2,262144,30.54
2,524288,68.19
2,1048576,136.56
4,2,0.55
4,4,0.55
4,8,0.57
4,16,0.56
4,32,0.65
4,64,0.66
4,128,1.14
4,256,1.14
4,512,1.31
4,1024,1.39
4,2048,2.24
4,4096,2.93
4,8192,5.12
4,16384,7.68
4,32768,11.58
4,65536,16.15
4,131072,36.93
4,262144,95.15
4,524288,214.01
4,1048576,439.54
6,2,0.86
6,4,0.91
6,8,0.86
6,16,0.9
6,32,1.08
6,64,1.07
6,128,1.55
6,256,1.67
6,512,1.99
6,1024,2.12
6,2048,3.65
6,4096,5.22
6,8192,8.11
6,16384,9.21
6,32768,14.25
6,65536,27.6
6,131072,57.72
6,262144,130.14
6,524288,283.93
6,1048576,605.76
8,2,2.29
8,4,2.09
8,8,2.08
8,16,2.07
8,32,2.28
8,64,2.24
8,128,3.27
8,256,3.09
8,512,3.35
8,1024,3.66
8,2048,5.25
8,4096,6.78
8,8192,11.1
8,16384,13.11
8,32768,22.79
8,65536,47.67
8,131072,98.62
8,262144,223.32
8,524288,479.8
8,1048576,1071.85
10,2,2.8
10,4,2.78
10,8,2.74
10,16,2.75
10,32,3.02
10,64,2.94
10,128,4.72
10,256,4.69
10,512,4.91
10,1024,5.28
10,2048,7.75
10,4096,10.07
10,8192,15.7
10,16384,19.08
10,32768,36.73
10,65536,78.47
10,131072,131.12
10,262144,262.88
10,524288,595.71
10,1048576,1106.68
12,2,2.79
12,4,2.76
12,8,2.78
12,16,2.82
12,32,3.1
12,64,3.03
12,128,4.86
12,256,4.98
12,512,5.1
12,1024,5.3
12,2048,8.34
12,4096,10.97
12,8192,15.55
12,16384,18.06
12,32768,39.97
12,65536,84.18
12,131072,164.7
12,262144,363.87
12,524288,813.87
12,1048576,1268.13
14,2,1.72
14,4,1.7
14,8,1.7
14,16,1.7
14,32,1.92
14,64,1.82
14,128,3.89
14,256,3.98
14,512,4.13
14,1024,4.26
14,2048,7.13
14,4096,9.57
14,8192,14.6
14,16384,23.93
14,32768,49.12
14,65536,111.15
14,131072,218.29
14,262144,440.77
14,524288,956.24
14,1048576,1511.74
16,2,2.95
16,4,2.91
16,8,2.93
16,16,2.98
16,32,3.16
16,64,3.13
16,128,5.42
16,256,5.52
16,512,5.74
16,1024,6.03
16,2048,9.42
16,4096,11.91
16,8192,17.36
16,16384,29.54
16,32768,51.93
16,65536,113.38
16,131072,242.2
16,262144,509.81
16,524288,887.85
16,1048576,1743.72
18,2,3.39
18,4,3.43
18,8,3.43
18,16,3.41
18,32,3.69
18,64,3.79
18,128,6.35
18,256,6.45
18,512,6.56
18,1024,6.91
18,2048,10.83
18,4096,13.91
18,8192,19.67
18,16384,27.27
18,32768,64.0
18,65536,140.11
18,131072,298.47
18,262144,597.07
18,524288,1187.54
18,1048576,2026.31
20,2,3.69
20,4,3.67
20,8,3.73
20,16,3.7
20,32,4.22
20,64,4.15
20,128,7.56
20,256,7.84
20,512,7.87
20,1024,8.64
20,2048,12.55
20,4096,16.74
20,8192,26.45
20,16384,38.72
20,32768,72.29
20,65536,157.62
20,131072,334.26
20,262144,675.23
20,524288,1364.14
20,1048576,2312.35
22,2,3.79
22,4,3.79
22,8,3.99
22,16,4.01
22,32,4.4
22,64,4.33
22,128,8.25
22,256,8.47
22,512,8.64
22,1024,9.68
22,2048,14.12
22,4096,18.47
22,8192,29.7
22,16384,41.94
22,32768,79.74
22,65536,171.55
22,131072,365.91
22,262144,741.93
22,524288,1462.33
22,1048576,2431.54
24,2,4.37
24,4,4.32
24,8,4.38
24,16,4.46
24,32,4.92
24,64,4.86
24,128,8.87
24,256,9.13
24,512,9.39
24,1024,10.85
24,2048,15.92
24,4096,20.53
24,8192,32.31
24,16384,45.61
24,32768,77.92
24,65536,173.18
24,131072,381.44
24,262144,782.67
24,524288,1697.36
24,1048576,2798.62
26,2,4.22
26,4,4.22
26,8,4.24
26,16,4.62
26,32,4.83
26,64,4.68
26,128,9.33
26,256,9.45
26,512,9.42
26,1024,10.46
26,2048,15.69
26,4096,22.1
26,8192,35.25
26,16384,52.89
26,32768,91.37
26,65536,199.93
26,131072,429.97
26,262144,867.34
26,524288,1439.19
26,1048576,2803.67
28,2,4.52
28,4,4.51
28,8,4.54
28,16,4.85
28,32,5.34
28,64,5.18
28,128,10.08
28,256,10.41
28,512,10.76
28,1024,11.91
28,2048,18.42
28,4096,23.62
28,8192,38.06
28,16384,56.5
28,32768,100.56
28,65536,219.16
28,131072,445.29
28,262144,945.95
28,524288,1554.82
28,1048576,3041.11
30,2,4.77
30,4,4.72
30,8,4.88
30,16,5.04
30,32,5.37
30,64,5.25
30,128,10.53
30,256,10.8
30,512,11.0
30,1024,12.18
30,2048,18.87
30,4096,24.4
30,8192,38.21
30,16384,59.64
30,32768,105.94
30,65536,230.03
30,131072,440.06
30,262144,756.1
30,524288,1552.51
30,1048576,3184.54
32,2,5.11
32,4,5.28
32,8,5.32
32,16,5.55
32,32,5.65
32,64,5.65
32,128,10.89
32,256,11.37
32,512,12.01
32,1024,12.57
32,2048,19.65
32,4096,25.19
32,8192,40.01
32,16384,64.54
32,32768,115.36
32,65536,250.0
32,131072,517.13
32,262144,1069.05
32,524288,2128.72
32,1048576,3496.73
34,2,5.87
34,4,5.93
34,8,6.17
34,16,6.15
34,32,6.52
34,64,6.53
34,128,12.6
34,256,12.82
34,512,13.11
34,1024,13.41
34,2048,21.47
34,4096,28.23
34,8192,42.37
34,16384,68.27
34,32768,122.09
34,65536,265.45
34,131072,558.26
34,262144,1155.86
34,524288,2294.94
34,1048576,4082.53
36,2,5.37
36,4,5.35
36,8,5.64
36,16,5.64
36,32,5.97
36,64,5.92
36,128,12.28
36,256,12.59
36,512,12.89
36,1024,13.56
36,2048,22.02
36,4096,30.59
36,8192,46.61
36,16384,73.51
36,32768,127.38
36,65536,278.28
36,131072,559.25
36,262144,1197.2
36,524288,2368.05
36,1048576,4250.97
38,2,5.98
38,4,6.09
38,8,6.3
38,16,6.32
38,32,6.75
38,64,6.75
38,128,14.05
38,256,14.37
38,512,14.78
38,1024,15.37
38,2048,24.48
38,4096,31.41
38,8192,50.02
38,16384,77.83
38,32768,137.95
38,65536,293.49
38,131072,633.02
38,262144,1265.13
38,524288,2514.54
38,1048576,4300.03
40,2,6.21
40,4,6.16
40,8,6.55
40,16,6.56
40,32,6.95
40,64,6.8
40,128,14.4
40,256,14.57
40,512,14.81
40,1024,15.97
40,2048,26.15
40,4096,33.5
40,8192,53.09
40,16384,80.7
40,32768,141.29
40,65536,306.79
40,131072,660.85
40,262144,1326.32
40,524288,2204.73
40,1048576,4228.34
42,2,6.23
42,4,6.24
42,8,6.6
42,16,6.68
42,32,7.26
42,64,7.13
42,128,15.45
42,256,15.79
42,512,16.15
42,1024,17.35
42,2048,25.98
42,4096,33.75
42,8192,53.87
42,16384,78.98
42,32768,149.06
42,65536,324.56
42,131072,690.18
42,262144,1380.98
42,524288,2784.1
42,1048576,4192.32
44,2,7.13
44,4,7.52
44,8,7.52
44,16,7.51
44,32,7.89
44,64,7.81
44,128,16.17
44,256,16.4
44,512,16.99
44,1024,20.0
44,2048,28.14
44,4096,35.73
44,8192,56.84
44,16384,87.64
44,32768,155.63
44,65536,338.23
44,131072,725.65
44,262144,1460.16
44,524288,3070.04
44,1048576,5184.19
46,2,7.47
46,4,7.86
46,8,7.85
46,16,7.74
46,32,8.14
46,64,8.04
46,128,16.8
46,256,17.32
46,512,18.1
46,1024,19.35
46,2048,29.05
46,4096,37.88
46,8192,60.92
46,16384,93.87
46,32768,168.47
46,65536,353.6
46,131072,756.97
46,262144,1520.36
46,524288,3195.48
46,1048576,5539.64
48,2,7.3
48,4,7.87
48,8,7.71
48,16,7.67
48,32,8.16
48,64,8.1
48,128,17.25
48,256,17.79
48,512,18.57
48,1024,20.53
48,2048,28.91
48,4096,37.6
48,8192,60.3
48,16384,99.26
48,32768,174.57
48,65536,365.85
48,131072,785.97
48,262144,1585.61
48,524288,3343.13
48,1048576,5364.66
50,2,7.11
50,4,7.47
50,8,7.48
50,16,7.38
50,32,8.35
50,64,8.22
50,128,17.38
50,256,17.6
50,512,18.61
50,1024,19.11
50,2048,30.15
50,4096,38.95
50,8192,62.61
50,16384,103.68
50,32768,177.6
50,65536,380.24
50,131072,802.92
50,262144,1616.99
50,524288,3308.5
50,1048576,5857.71
52,2,7.93
52,4,8.25
52,8,8.17
52,16,8.06
52,32,8.8
52,64,8.65
52,128,18.58
52,256,19.31
52,512,19.65
52,1024,20.38
52,2048,31.74
52,4096,43.47
52,8192,68.5
52,16384,107.27
52,32768,187.52
52,65536,398.68
52,131072,845.09
52,262144,1714.92
52,524288,3579.54
52,1048576,6196.25
54,2,7.69
54,4,8.09
54,8,8.19
54,16,8.37
54,32,8.94
54,64,8.87
54,128,19.23
54,256,20.4
54,512,20.3
54,1024,21.45
54,2048,32.56
54,4096,42.96
54,8192,68.87
54,16384,106.55
54,32768,186.76
54,65536,412.61
54,131072,831.44
54,262144,1435.72
54,524288,2800.99
54,1048576,5584.26
56,2,8.39
56,4,8.69
56,8,8.7
56,16,8.74
56,32,9.4
56,64,9.25
56,128,20.92
56,256,20.33
56,512,21.24
56,1024,23.6
56,2048,34.8
56,4096,44.74
56,8192,72.16
56,16384,110.95
56,32768,194.07
56,65536,423.68
56,131072,908.55
56,262144,1809.61
56,524288,3767.89
56,1048576,6585.72
58,2,8.2
58,4,8.63
58,8,8.73
58,16,8.56
58,32,9.82
58,64,9.49
58,128,20.94
58,256,20.95
58,512,21.44
58,1024,23.6
58,2048,35.75
58,4096,46.71
58,8192,75.27
58,16384,118.38
58,32768,210.77
58,65536,445.89
58,131072,942.6
58,262144,1898.4
58,524288,3974.86
58,1048576,6145.22
60,2,7.91
60,4,8.94
60,8,8.98
60,16,9.19
60,32,9.72
60,64,9.73
60,128,21.44
60,256,21.76
60,512,21.76
60,1024,23.63
60,2048,35.97
60,4096,47.22
60,8192,75.49
60,16384,124.31
60,32768,213.36
60,65536,458.4
60,131072,971.73
60,262144,1911.36
60,524288,3957.02
60,1048576,7356.09
62,2,8.71
62,4,9.05
62,8,9.0
62,16,8.99
62,32,9.96
62,64,9.47
62,128,21.97
62,256,21.3
62,512,22.31
62,1024,24.31
62,2048,37.31
62,4096,48.32
62,8192,77.22
62,16384,124.63
62,32768,220.15
62,65536,467.14
62,131072,991.9
62,262144,1972.75
62,524288,4160.55
62,1048576,6423.09
64,2,8.23
64,4,9.27
64,8,9.33
64,16,9.23
64,32,10.03
64,64,9.82
64,128,22.19
64,256,23.13
64,512,23.16
64,1024,24.4
64,2048,38.48
64,4096,50.62
64,8192,76.42
64,16384,122.4
64,32768,220.68
64,65536,485.72
64,131072,1031.42
64,262144,1912.38
64,524288,3371.5
64,1048576,6614.16
66,2,8.57
66,4,10.04
66,8,10.02
66,16,10.22
66,32,10.25
66,64,10.17
66,128,23.61
66,256,24.17
66,512,24.46
66,1024,25.3
66,2048,39.75
66,4096,52.84
66,8192,83.87
66,16384,134.4
66,32768,232.86
66,65536,500.08
66,131072,1061.45
66,262144,2145.42
66,524288,4516.01
66,1048576,7962.01
68,2,9.97
68,4,10.46
68,8,10.5
68,16,10.86
68,32,10.86
68,64,11.08
68,128,24.2
68,256,24.55
68,512,25.23
68,1024,26.25
68,2048,41.16
68,4096,53.96
68,8192,86.86
68,16384,136.12
68,32768,238.39
68,65536,509.28
68,131072,1084.99
68,262144,2161.83
68,524288,4559.98
68,1048576,8355.21
70,2,9.37
70,4,11.21
70,8,11.19
70,16,11.54
70,32,10.96
70,64,10.95
70,128,25.12
70,256,26.72
70,512,27.07
70,1024,27.75
70,2048,43.02
70,4096,55.54
70,8192,89.44
70,16384,145.5
70,32768,257.21
70,65536,542.89
70,131072,1148.91
70,262144,2275.35
70,524288,4777.67
70,1048576,7489.51
72,2,9.67
72,4,10.92
72,8,10.92
72,16,11.37
72,32,11.24
72,64,11.4
72,128,25.75
72,256,27.43
72,512,26.69
72,1024,28.54
72,2048,45.35
72,4096,58.13
72,8192,91.76
72,16384,149.87
72,32768,259.21
72,65536,548.32
72,131072,1159.88
72,262144,2336.87
72,524288,4885.9
72,1048576,8879.76
74,2,9.35
74,4,11.16
74,8,10.93
74,16,11.47
74,32,11.44
74,64,12.09
74,128,26.66
74,256,29.09
74,512,27.78
74,1024,29.31
74,2048,45.91
74,4096,59.83
74,8192,95.83
74,16384,149.16
74,32768,261.5
74,65536,552.27
74,131072,1184.69
74,262144,2366.09
74,524288,4941.55
74,1048576,9005.02
76,2,10.9
76,4,10.9
76,8,10.86
76,16,11.19
76,32,10.73
76,64,10.79
76,128,28.38
76,256,29.27
76,512,28.64
76,1024,29.68
76,2048,46.08
76,4096,59.86
76,8192,95.56
76,16384,154.35
76,32768,268.01
76,65536,572.97
76,131072,1226.7
76,262144,2438.87
76,524288,5085.92
76,1048576,9338.79
78,2,10.35
78,4,12.43
78,8,12.09
78,16,11.5
78,32,11.68
78,64,12.0
78,128,27.8
78,256,29.31
78,512,29.18
78,1024,30.64
78,2048,45.4
78,4096,59.57
78,8192,95.46
78,16384,155.82
78,32768,264.87
78,65536,584.29
78,131072,1249.29
78,262144,2462.9
78,524288,5206.43
78,1048576,7961.61
80,2,10.83
80,4,12.06
80,8,12.21
80,16,12.61
80,32,12.18
80,64,12.18
80,128,27.07
80,256,28.98
80,512,29.24
80,1024,30.77
80,2048,47.93
80,4096,61.93
80,8192,99.72
80,16384,158.44
80,32768,278.74
80,65536,605.02
80,131072,1273.88
80,262144,2547.73
80,524288,5292.87
80,1048576,9635.49
82,2,10.93
82,4,11.73
82,8,11.69
82,16,12.27
82,32,12.13
82,64,12.21
82,128,28.51
82,256,29.7
82,512,30.54
82,1024,32.13
82,2048,49.16
82,4096,63.71
82,8192,102.29
82,16384,162.97
82,32768,281.04
82,65536,612.28
82,131072,1292.42
82,262144,2539.4
82,524288,5356.42
82,1048576,9680.61
84,2,12.46
84,4,13.54
84,8,13.49
84,16,14.3
84,32,13.72
84,64,13.12
84,128,30.82
84,256,31.9
84,512,31.81
84,1024,33.45
84,2048,51.54
84,4096,67.47
84,8192,108.17
84,16384,171.3
84,32768,295.69
84,65536,637.58
84,131072,1370.21
84,262144,2735.87
84,524288,5245.7
84,1048576,8938.61
86,2,13.23
86,4,13.81
86,8,13.78
86,16,14.05
86,32,13.75
86,64,14.29
86,128,32.71
86,256,33.49
86,512,33.29
86,1024,35.39
86,2048,53.09
86,4096,68.97
86,8192,111.35
86,16384,170.04
86,32768,293.72
86,65536,636.4
86,131072,1355.87
86,262144,2678.89
86,524288,5624.93
86,1048576,10223.8
88,2,12.1
88,4,12.99
88,8,12.81
88,16,14.07
88,32,13.22
88,64,13.03
88,128,30.85
88,256,32.15
88,512,32.35
88,1024,35.66
88,2048,52.29
88,4096,68.48
88,8192,110.25
88,16384,175.2
88,32768,312.07
88,65536,662.05
88,131072,1406.11
88,262144,2783.11
88,524288,5820.87
88,1048576,10637.59
90,2,12.96
90,4,13.83
90,8,14.25
90,16,13.79
90,32,13.63
90,64,13.91
90,128,33.31
90,256,33.56
90,512,33.48
90,1024,35.25
90,2048,55.08
90,4096,71.21
90,8192,113.88
90,16384,181.43
90,32768,320.88
90,65536,682.72
90,131072,1435.08
90,262144,2886.29
90,524288,6037.68
90,1048576,11173.03
92,2,13.86
92,4,14.33
92,8,13.91
92,16,14.61
92,32,14.58
92,64,14.38
92,128,32.57
92,256,33.93
92,512,33.48
92,1024,35.41
92,2048,55.55
92,4096,71.4
92,8192,114.71
92,16384,181.36
92,32768,324.96
92,65536,682.95
92,131072,1462.02
92,262144,2894.88
92,524288,5188.2
92,1048576,9222.04
94,2,14.03
94,4,14.16
94,8,14.07
94,16,14.7
94,32,14.33
94,64,14.38
94,128,33.85
94,256,34.66
94,512,34.39
94,1024,36.98
94,2048,56.74
94,4096,73.82
94,8192,117.64
94,16384,189.88
94,32768,337.63
94,65536,701.46
94,131072,1484.45
94,262144,2508.69
94,524288,5033.77
94,1048576,9363.23
96,2,14.93
96,4,15.16
96,8,14.44
96,16,15.46
96,32,14.93
96,64,15.06
96,128,34.7
96,256,36.36
96,512,34.83
96,1024,38.09
96,2048,58.06
96,4096,74.77
96,8192,119.53
96,16384,194.66
96,32768,343.16
96,65536,723.99
96,131072,1539.57
96,262144,3061.81
96,524288,6349.99
96,1048576,10872.8
98,2,14.83
98,4,15.22
98,8,15.02
98,16,15.97
98,32,14.71
98,64,14.82
98,128,35.92
98,256,37.12
98,512,36.6
98,1024,39.85
98,2048,61.02
98,4096,79.27
98,8192,126.08
98,16384,197.95
98,32768,353.53
98,65536,738.76
98,131072,1557.9
98,262144,3118.15
98,524288,6503.39
98,1048576,11912.83
100,2,15.17
100,4,15.38
100,8,15.1
100,16,15.4
100,32,15.34
100,64,16.11
100,128,35.89
100,256,37.26
100,512,37.53
100,1024,39.6
100,2048,61.03
100,4096,79.23
100,8192,127.15
100,16384,196.81
100,32768,349.53
100,65536,741.25
100,131072,1575.94
100,262144,3105.09
100,524288,6455.55
100,1048576,11739.56
102,2,16.38
102,4,16.19
102,8,16.32
102,16,16.85
102,32,16.89
102,64,16.85
102,128,36.73
102,256,38.79
102,512,38.43
102,1024,41.32
102,2048,62.85
102,4096,82.07
102,8192,131.01
102,16384,200.97
102,32768,361.8
102,65536,768.14
102,131072,1652.07
102,262144,3009.86
102,524288,5665.38
102,1048576,10391.1
104,2,16.35
104,4,16.77
104,8,16.52
104,16,17.06
104,32,16.71
104,64,17.93
104,128,37.77
104,256,39.52
104,512,39.34
104,1024,42.28
104,2048,65.49
104,4096,84.5
104,8192,135.01
104,16384,204.84
104,32768,357.35
104,65536,779.6
104,131072,1655.18
104,262144,3460.82
104,524288,6828.3
104,1048576,12690.0
106,2,16.55
106,4,16.77
106,8,16.43
106,16,17.45
106,32,17.58
106,64,17.52
106,128,39.62
106,256,41.44
106,512,40.7
106,1024,43.81
106,2048,66.5
106,4096,86.32
106,8192,137.0
106,16384,213.82
106,32768,371.68
106,65536,804.41
106,131072,1686.56
106,262144,3491.26
106,524288,6995.58
106,1048576,12891.12
108,2,16.08
108,4,17.19
108,8,16.98
108,16,17.46
108,32,17.18
108,64,17.36
108,128,39.8
108,256,40.88
108,512,41.07
108,1024,43.25
108,2048,67.14
108,4096,87.12
108,8192,138.86
108,16384,215.01
108,32768,380.04
108,65536,815.52
108,131072,1738.73
108,262144,3581.86
108,524288,7195.04
108,1048576,13300.29
110,2,16.25
110,4,16.52
110,8,16.19
110,16,16.83
110,32,16.58
110,64,16.83
110,128,39.16
110,256,40.62
110,512,40.83
110,1024,43.27
110,2048,66.87
110,4096,86.56
110,8192,138.68
110,16384,219.74
110,32768,386.51
110,65536,689.88
110,131072,1181.44
110,262144,2307.09
110,524288,6027.71
110,1048576,12517.71
112,2,17.72
112,4,17.83
112,8,17.74
112,16,18.38
112,32,16.96
112,64,18.23
112,128,41.95
112,256,43.33
112,512,43.07
112,1024,45.49
112,2048,71.35
112,4096,91.22
112,8192,144.96
112,16384,220.38
112,32768,396.4
112,65536,839.46
112,131072,1785.13
112,262144,3546.52
112,524288,6534.72
112,1048576,11649.45
114,2,17.22
114,4,17.58
114,8,17.56
114,16,18.32
114,32,18.75
114,64,18.45
114,128,41.82
114,256,43.65
114,512,43.27
114,1024,45.4
114,2048,70.81
114,4096,91.36
114,8192,145.35
114,16384,230.3
114,32768,393.95
114,65536,848.39
114,131072,1834.15
114,262144,3758.64
114,524288,7569.32
114,1048576,14045.22
116,2,17.24
116,4,17.85
116,8,17.83
116,16,18.11
116,32,18.67
116,64,18.26
116,128,42.44
116,256,44.0
116,512,43.62
