Processes,Size,Latency
2,2,0.16
2,4,0.16
2,8,0.16
2,16,0.16
2,32,0.16
2,64,0.17
2,128,0.21
2,256,0.22
2,512,0.22
2,1024,0.27
2,2048,0.32
2,4096,0.4
2,8192,0.57
2,16384,2.35
2,32768,4.75
2,65536,5.48
2,131072,8.94
2,262144,19.77
2,524288,42.87
2,1048576,80.7
4,2,0.15
4,4,0.15
4,8,0.15
4,16,0.15
4,32,0.15
4,64,0.15
4,128,0.27
4,256,0.26
4,512,0.28
4,1024,0.33
4,2048,0.46
4,4096,0.67
4,8192,1.08
4,16384,2.77
4,32768,4.85
4,65536,7.51
4,131072,13.98
4,262144,35.69
4,524288,76.94
4,1048576,154.33
6,2,0.32
6,4,0.33
6,8,0.31
6,16,0.32
6,32,0.33
6,64,0.45
6,128,0.59
6,256,0.57
6,512,0.61
6,1024,0.75
6,2048,1.08
6,4096,1.57
6,8192,2.67
6,16384,5.93
6,32768,10.19
6,65536,19.36
6,131072,38.93
6,262144,88.8
6,524288,201.6
6,1048576,345.62
8,2,0.81
8,4,0.82
8,8,0.78
8,16,0.8
8,32,0.87
8,64,0.87
8,128,1.26
8,256,1.28
8,512,1.39
8,1024,1.52
8,2048,2.0
8,4096,2.8
8,8192,3.97
8,16384,6.95
8,32768,11.43
8,65536,23.04
8,131072,52.11
8,262144,100.27
8,524288,225.8
8,1048576,433.24
10,2,1.15
10,4,1.21
10,8,1.14
10,16,1.15
10,32,1.2
10,64,1.22
10,128,1.7
10,256,1.73
10,512,1.77
10,1024,1.87
10,2048,2.4
10,4096,3.11
10,8192,4.86
10,16384,9.72
10,32768,15.03
10,65536,27.62
10,131072,53.94
10,262144,120.84
10,524288,254.91
10,1048576,511.89
12,2,1.11
12,4,1.12
12,8,1.1
12,16,1.1
12,32,1.25
12,64,1.3
12,128,1.83
12,256,1.67
12,512,1.87
12,1024,2.16
12,2048,2.67
12,4096,3.65
12,8192,5.58
12,16384,10.97
12,32768,18.68
12,65536,33.86
12,131072,65.41
12,262144,142.55
12,524288,319.75
12,1048576,598.76
14,2,1.17
14,4,1.13
14,8,1.14
14,16,1.14
14,32,1.26
14,64,1.26
14,128,1.83
14,256,1.87
14,512,1.9
14,1024,2.12
14,2048,2.75
14,4096,3.79
14,8192,6.15
14,16384,12.62
14,32768,19.81
14,65536,37.18
14,131072,72.78
14,262144,159.32
14,524288,324.28
14,1048576,655.73
16,2,1.08
16,4,1.09
16,8,1.09
16,16,1.1
16,32,1.25
16,64,1.26
16,128,1.9
16,256,1.91
16,512,2.0
16,1024,2.3
16,2048,3.0
16,4096,4.11
16,8192,5.91
16,16384,13.05
16,32768,21.84
16,65536,43.31
16,131072,86.39
16,262144,166.98
16,524288,388.09
16,1048576,782.49
18,2,1.86
18,4,1.82
18,8,1.8
18,16,1.82
18,32,2.05
18,64,2.04
18,128,2.68
18,256,2.71
18,512,2.81
18,1024,3.12
18,2048,3.82
18,4096,5.15
18,8192,8.0
18,16384,17.14
18,32768,29.67
18,65536,55.49
18,131072,107.32
18,262144,198.13
18,524288,422.2
18,1048576,848.16
20,2,1.77
20,4,1.77
20,8,1.78
20,16,1.8
20,32,2.09
20,64,2.08
20,128,2.78
20,256,2.77
20,512,2.86
20,1024,3.22
20,2048,3.97
20,4096,5.23
20,8192,8.35
20,16384,16.78
20,32768,28.53
20,65536,50.67
20,131072,97.86
20,262144,185.3
20,524288,407.67
20,1048576,796.09
22,2,1.78
22,4,1.79
22,8,1.8
22,16,1.79
22,32,2.04
22,64,2.07
22,128,2.64
22,256,2.72
22,512,2.83
22,1024,3.2
22,2048,4.03
22,4096,5.29
22,8192,8.42
22,16384,17.48
22,32768,27.48
22,65536,50.64
22,131072,100.15
22,262144,214.01
22,524288,422.22
22,1048576,806.05
24,2,1.88
24,4,1.9
24,8,1.89
24,16,1.95
24,32,2.1
24,64,2.11
24,128,2.79
24,256,2.89
24,512,3.0
24,1024,3.37
24,2048,4.28
24,4096,5.75
24,8192,9.04
24,16384,18.99
24,32768,31.08
24,65536,57.13
24,131072,111.96
24,262144,225.6
24,524288,438.68
