Processes,Size,Latency
2,4,0.15
3,4,0.32
4,4,0.25
5,4,0.45
6,4,0.61
7,4,0.81
8,4,1.22
9,4,1.72
10,4,1.81
11,4,1.90
12,4,2.09
13,4,2.14
14,4,2.24
15,4,2.52
16,4,2.74
17,4,3.10
18,4,3.46
19,4,3.35
20,4,3.54
21,4,3.62
22,4,3.80
23,4,3.97
24,4,4.18
25,4,4.14
26,4,4.21
27,4,4.36
28,4,4.69
29,4,4.73
30,4,4.89
31,4,5.17
32,4,5.66
33,4,6.10
34,4,6.18
35,4,6.62
36,4,6.96
37,4,7.06
38,4,6.94
39,4,7.14
40,4,7.37
41,4,7.31
42,4,7.47
43,4,7.77
44,4,7.93
45,4,8.19
46,4,8.36
47,4,8.60
48,4,8.95
49,4,8.74
50,4,8.98
51,4,9.02
52,4,9.29
53,4,9.42
54,4,9.62
55,4,9.92
56,4,10.22
57,4,10.17
58,4,10.38
59,4,10.54
60,4,10.86
61,4,10.98
62,4,11.22
63,4,11.53
64,4,11.40
65,4,11.07
66,4,11.63
67,4,11.93
68,4,12.50
69,4,12.64
70,4,12.90
71,4,12.92
72,4,13.44
73,4,13.66
74,4,13.77
75,4,13.99
76,4,14.77
77,4,14.59
78,4,14.68
79,4,14.56
80,4,15.33
81,4,15.34
82,4,15.57
83,4,15.70
84,4,16.18
85,4,16.46
86,4,16.67
87,4,16.61
88,4,17.03
89,4,17.24
90,4,17.84
91,4,18.07
92,4,18.14
93,4,19.23
94,4,18.65
95,4,18.47
96,4,18.83
97,4,18.80
98,4,19.18
99,4,19.37
100,4,20.02
101,4,20.15
102,4,20.29
103,4,20.27
104,4,20.61
105,4,20.77
106,4,21.34
107,4,21.28
108,4,21.76
109,4,21.77
110,4,22.16
111,4,21.89
112,4,22.38
113,4,22.50
114,4,22.86
115,4,22.93
116,4,23.41
117,4,23.20
118,4,23.48
119,4,23.61
120,4,24.24
121,4,24.08
122,4,24.33
123,4,24.45
124,4,24.78
125,4,24.73
126,4,24.96
127,4,24.12
128,4,24.71
129,4,24.12
130,4,24.75
131,4,25.36
132,4,25.77
133,4,26.15
134,4,26.76
135,4,27.24
136,4,27.56
137,4,27.20
138,4,28.61
139,4,28.47
140,4,29.14
141,4,29.25
142,4,29.33
143,4,29.89
144,4,30.11
145,4,29.81
146,4,30.41
147,4,30.84
148,4,31.05
149,4,30.73
150,4,31.54
151,4,31.42
152,4,31.56
153,4,32.62
154,4,32.54
155,4,32.66
156,4,33.00
157,4,33.21
158,4,33.64
159,4,33.95
160,4,33.81
161,4,33.56
162,4,33.69
163,4,34.38
164,4,34.61
165,4,34.72
166,4,34.89
167,4,35.04
168,4,35.84
169,4,35.61
170,4,35.78
171,4,36.82
172,4,36.40
173,4,36.78
174,4,36.31
175,4,37.90
176,4,37.35
177,4,37.39
178,4,37.34
179,4,37.68
180,4,38.20
181,4,38.42
182,4,38.79
183,4,39.63
184,4,39.71
185,4,39.74
186,4,41.00
187,4,41.74
188,4,42.40
189,4,41.26
190,4,41.46
191,4,41.74
192,4,41.03
193,4,41.90
194,4,43.06
195,4,43.57
196,4,43.35
197,4,43.29
198,4,43.02
199,4,43.35
200,4,44.10
201,4,43.42
202,4,44.10
203,4,1864.77
204,4,45.19
205,4,45.41
206,4,46.23
207,4,46.77
208,4,46.86
209,4,45.22
210,4,45.49
211,4,45.88
212,4,46.11
213,4,46.25
214,4,46.21
215,4,46.49
216,4,47.20
217,4,46.85
218,4,46.99
219,4,47.98
220,4,47.98
221,4,48.92
222,4,48.21
223,4,48.11
224,4,48.12
225,4,48.21
226,4,49.30
227,4,50.11
228,4,48.64
229,4,48.44
230,4,48.66
231,4,49.72
232,4,49.74
233,4,49.47
234,4,49.29
235,4,49.37
236,4,50.06
237,4,50.01
238,4,50.82
239,4,50.66
240,4,50.61
241,4,50.02
242,4,50.55
243,4,50.87
244,4,51.98
245,4,51.33
246,4,51.71
247,4,51.75
248,4,51.81
249,4,52.23
250,4,51.60
251,4,53.08
252,4,52.62
253,4,51.87
254,4,51.53
255,4,50.59
256,4,27.39
