Processes,Size,Latency
2,2,1.74
2,4,1.74
2,8,1.75
2,16,1.77
2,32,1.86
2,64,2.26
2,128,1.80
2,256,2.38
2,512,2.41
2,1024,2.95
2,2048,3.55
2,4096,4.41
2,8192,5.20
2,16384,6.02
2,32768,8.03
2,65536,12.09
2,131072,17.31
2,262144,28.06
4,2,2.37
4,4,2.35
4,8,2.34
4,16,2.37
4,32,2.57
4,64,2.83
4,128,2.73
4,256,3.52
4,512,3.91
4,1024,4.84
4,2048,4.85
4,4096,6.09
4,8192,10.46
4,16384,12.86
4,32768,17.78
4,65536,24.70
4,131072,40.34
4,262144,63.49
8,2,7.64
8,4,7.83
8,8,7.65
8,16,7.59
8,32,8.03
8,64,9.59
8,128,8.34
8,256,10.60
8,512,11.56
8,1024,13.41
8,2048,13.57
8,4096,16.51
8,8192,19.39
8,16384,22.70
8,32768,30.61
8,65536,43.42
8,131072,67.85
8,262144,123.87
16,2,14.88
16,4,14.86
16,8,14.89
16,16,14.95
16,32,15.68
16,64,18.69
16,128,16.53
16,256,20.69
16,512,22.46
16,1024,26.27
16,2048,27.02
16,4096,33.08
16,8192,38.73
16,16384,50.94
16,32768,66.77
16,65536,89.99
16,131072,141.69
16,262144,239.43
32,2,28.92
32,4,29.03
32,8,29.04
32,16,29.12
32,32,30.54
32,64,37.06
32,128,37.52
32,256,46.44
32,512,50.24
32,1024,57.58
32,2048,60.41
32,4096,72.53
32,8192,82.59
32,16384,100.10
32,32768,129.30
32,65536,181.30
32,131072,285.79
32,262144,465.54
64,2,64.07
64,4,63.17
64,8,63.70
64,16,63.40
64,32,64.22
64,64,66.89
64,128,67.73
64,256,88.15
64,512,109.33
64,1024,144.60
64,2048,114.42
64,4096,137.26
64,8192,157.57
64,16384,201.31
64,32768,254.89
64,65536,352.47
64,131072,576.47
64,262144,918.92
128,2,162.69
128,4,160.80
128,8,162.72
128,16,160.56
128,32,163.95
128,64,170.54
128,128,174.48
128,256,205.27
128,512,234.22
128,1024,257.10
128,2048,268.90
128,4096,313.63
128,8192,351.37
128,16384,417.46
128,32768,519.04
128,65536,835.40
128,131072,1179.19
128,262144,1864.28
256,2,372.08
256,4,371.96
256,8,373.23
256,16,369.53
256,32,373.83
256,64,389.56
256,128,392.66
256,256,468.95
256,512,552.94
256,1024,588.57
256,2048,580.17
256,4096,678.44
256,8192,760.15
256,16384,867.06
256,32768,1311.39
256,65536,1730.48
256,131072,2421.66
256,262144,3807.02
