Processes,Size,Latency
2,2,0.21
2,4,0.22
2,8,0.21
2,16,0.21
2,32,0.23
2,64,0.25
2,128,0.23
2,256,0.24
2,512,0.25
2,1024,0.24
2,2048,0.27
2,4096,0.38
2,8192,0.55
2,16384,0.9
2,32768,1.66
2,65536,3.1
2,131072,6.0
2,262144,29.15
2,524288,55.76
2,1048576,107.72
4,2,0.18
4,4,0.18
4,8,0.18
4,16,0.18
4,32,0.18
4,64,0.18
4,128,0.24
4,256,0.24
4,512,0.26
4,1024,0.3
4,2048,0.35
4,4096,0.5
4,8192,0.7
4,16384,1.28
4,32768,2.19
4,65536,4.07
4,131072,8.35
4,262144,61.43
4,524288,115.65
4,1048576,234.39
6,2,0.32
6,4,0.31
6,8,0.32
6,16,0.31
6,32,0.34
6,64,0.35
6,128,0.47
6,256,0.49
6,512,0.51
6,1024,0.57
6,2048,0.76
6,4096,1.1
6,8192,1.75
6,16384,3.16
6,32768,5.72
6,65536,10.8
6,131072,21.58
6,262144,96.42
6,524288,198.97
6,1048576,404.55
8,2,0.33
8,4,0.33
8,8,0.34
8,16,0.33
8,32,0.34
8,64,0.34
8,128,0.5
8,256,0.56
8,512,0.59
8,1024,0.65
8,2048,0.93
8,4096,1.55
8,8192,2.8
8,16384,5.41
8,32768,10.37
8,65536,20.11
8,131072,40.37
8,262144,138.21
8,524288,280.81
8,1048576,550.29
10,2,0.27
10,4,0.28
10,8,0.28
10,16,0.28
10,32,0.3
10,64,0.29
10,128,0.42
10,256,0.44
10,512,0.49
10,1024,0.55
10,2048,0.73
10,4096,1.41
10,8192,2.74
10,16384,5.58
10,32768,11.29
10,65536,22.86
10,131072,50.9
10,262144,174.95
10,524288,355.0
10,1048576,687.49
12,2,0.26
12,4,0.25
12,8,0.26
12,16,0.25
12,32,0.26
12,64,0.27
12,128,0.42
12,256,0.46
12,512,0.49
12,1024,0.55
12,2048,0.83
12,4096,1.7
12,8192,3.41
12,16384,7.13
12,32768,14.94
12,65536,30.29
12,131072,66.08
12,262144,224.96
12,524288,423.72
12,1048576,862.12
14,2,0.59
14,4,0.56
14,8,0.58
14,16,0.54
14,32,0.46
14,64,0.45
14,128,0.55
14,256,0.6
14,512,0.65
14,1024,0.72
14,2048,1.11
14,4096,2.28
14,8192,4.04
14,16384,8.2
14,32768,17.35
14,65536,35.74
14,131072,76.24
14,262144,248.19
14,524288,479.27
14,1048576,1092.78
16,2,0.94
16,4,0.84
16,8,0.73
16,16,0.67
16,32,0.68
16,64,0.66
16,128,0.81
16,256,0.88
16,512,0.94
16,1024,1.18
16,2048,1.68
16,4096,3.25
16,8192,5.44
16,16384,10.81
16,32768,21.99
16,65536,44.46
16,131072,91.08
16,262144,281.3
16,524288,511.94
16,1048576,1321.6
18,2,0.65
18,4,0.65
18,8,0.66
18,16,0.64
18,32,0.67
18,64,0.65
18,128,0.79
18,256,0.87
18,512,1.01
18,1024,1.11
18,2048,1.55
18,4096,3.34
18,8192,5.5
18,16384,11.03
18,32768,23.48
18,65536,49.71
18,131072,105.05
18,262144,321.73
18,524288,582.6
18,1048576,1611.53
20,2,0.6
20,4,0.61
20,8,0.6
20,16,0.62
20,32,0.62
20,64,0.63
20,128,0.74
20,256,0.82
20,512,0.9
20,1024,1.01
20,2048,1.54
20,4096,3.68
20,8192,6.24
20,16384,12.91
20,32768,27.31
20,65536,57.13
20,131072,120.55
20,262144,362.34
20,524288,666.59
20,1048576,1852.27
22,2,0.76
22,4,0.74
22,8,0.71
22,16,0.7
22,32,0.71
22,64,0.72
22,128,0.83
22,256,0.98
22,512,1.04
22,1024,1.13
22,2048,1.64
22,4096,3.79
22,8192,6.67
22,16384,13.86
22,32768,29.15
22,65536,62.81
22,131072,130.25
22,262144,386.46
22,524288,725.66
22,1048576,2107.77
24,2,0.68
24,4,0.68
24,8,0.65
24,16,0.67
24,32,0.67
24,64,0.67
24,128,0.76
24,256,0.9
24,512,0.91
24,1024,1.02
24,2048,1.62
24,4096,4.27
24,8192,7.67
24,16384,15.93
24,32768,33.46
24,65536,70.87
24,131072,148.92
24,262144,426.94
24,524288,812.34
24,1048576,2327.08
26,2,0.81
26,4,0.82
26,8,0.82
26,16,0.83
26,32,0.82
26,64,0.83
26,128,0.99
26,256,1.08
26,512,1.09
26,1024,1.21
26,2048,1.83
26,4096,4.51
26,8192,7.98
26,16384,16.43
26,32768,35.23
26,65536,74.83
26,131072,158.2
26,262144,441.69
26,524288,901.96
26,1048576,2544.56
28,2,0.99
28,4,0.97
28,8,0.9
28,16,0.88
28,32,0.87
28,64,0.89
28,128,1.03
28,256,1.12
28,512,1.13
28,1024,1.28
28,2048,1.91
28,4096,4.97
28,8192,8.92
28,16384,18.39
28,32768,39.36
28,65536,82.89
28,131072,180.78
28,262144,469.47
28,524288,991.95
28,1048576,2753.55
30,2,1.07
30,4,1.07
30,8,1.06
30,16,1.06
30,32,1.03
30,64,1.16
30,128,1.22
30,256,1.3
30,512,1.31
30,1024,1.46
30,2048,2.17
30,4096,5.42
30,8192,9.4
30,16384,19.47
30,32768,42.6
30,65536,132.58
30,131072,195.86
30,262144,490.79
30,524288,1106.48
30,1048576,2917.38
32,2,1.32
32,4,1.27
32,8,1.28
32,16,1.29
32,32,1.29
32,64,1.4
32,128,1.52
32,256,1.62
32,512,1.67
32,1024,1.87
32,2048,2.97
32,4096,6.6
32,8192,10.96
32,16384,21.56
32,32768,46.33
32,65536,95.39
32,131072,217.54
32,262144,528.63
32,524288,1226.98
32,1048576,3111.95
34,2,1.35
34,4,1.3
34,8,1.29
34,16,1.32
34,32,1.48
34,64,1.4
34,128,1.62
34,256,1.64
34,512,1.63
34,1024,1.81
34,2048,2.79
34,4096,6.46
34,8192,10.84
34,16384,21.84
34,32768,49.22
34,65536,101.47
34,131072,223.6
34,262144,563.23
34,524288,1372.95
34,1048576,3299.02
36,2,1.23
36,4,1.18
36,8,1.19
36,16,1.19
36,32,1.22
36,64,1.25
36,128,1.5
36,256,1.56
36,512,1.53
36,1024,1.78
36,2048,3.0
36,4096,6.87
36,8192,14.1
36,16384,23.93
36,32768,63.45
36,65536,110.54
36,131072,237.18
36,262144,568.53
36,524288,1469.19
36,1048576,3483.92
38,2,1.24
38,4,1.27
38,8,1.25
38,16,1.29
38,32,1.33
38,64,1.35
38,128,1.57
