Processes,Size,Latency
2,2,1.72
2,4,1.68
2,8,1.81
2,16,1.69
2,32,1.77
2,64,2.22
2,128,1.87
2,256,2.18
2,512,2.53
2,1024,3.2
2,2048,2.56
2,4096,2.96
2,8192,3.34
2,16384,3.95
2,32768,5.25
2,65536,7.26
2,131072,11.66
2,262144,35.12
2,524288,66.21
2,1048576,120.88
4,2,1.06
4,4,1.02
4,8,0.96
4,16,0.98
4,32,1.0
4,64,1.03
4,128,1.05
4,256,1.39
4,512,1.46
4,1024,1.75
4,2048,1.56
4,4096,1.89
4,8192,2.5
4,16384,3.64
4,32768,5.93
4,65536,10.56
4,131072,19.04
4,262144,69.54
4,524288,133.35
4,1048576,269.79
6,2,0.79
6,4,0.79
6,8,0.77
6,16,0.73
6,32,0.73
6,64,0.76
6,128,0.8
6,256,1.13
6,512,1.26
6,1024,1.52
6,2048,1.24
6,4096,1.56
6,8192,2.18
6,16384,3.82
6,32768,6.76
6,65536,11.9
6,131072,23.82
6,262144,104.25
6,524288,200.27
6,1048576,394.04
8,2,0.7
8,4,0.67
8,8,0.63
8,16,0.6
8,32,0.63
8,64,0.72
8,128,0.8
8,256,1.04
8,512,1.15
8,1024,1.48
8,2048,1.27
8,4096,1.66
8,8192,2.35
8,16384,4.2
8,32768,7.45
8,65536,13.64
8,131072,27.64
8,262144,139.79
8,524288,271.43
8,1048576,484.42
10,2,0.53
10,4,0.49
10,8,0.49
10,16,0.5
10,32,0.5
10,64,0.53
10,128,0.59
10,256,0.73
10,512,0.9
10,1024,1.13
10,2048,1.1
10,4096,1.52
10,8192,2.35
10,16384,4.6
10,32768,9.02
10,65536,16.83
10,131072,34.48
10,262144,170.91
10,524288,339.31
10,1048576,611.23
12,2,0.53
12,4,0.51
12,8,0.52
12,16,0.51
12,32,0.52
12,64,0.57
12,128,0.62
12,256,0.78
12,512,0.96
12,1024,1.2
12,2048,1.15
12,4096,1.51
12,8192,2.37
12,16384,4.81
12,32768,9.83
12,65536,20.29
12,131072,41.66
12,262144,209.79
12,524288,387.55
12,1048576,745.64
14,2,0.64
14,4,0.6
14,8,0.59
14,16,0.6
14,32,0.62
14,64,0.68
14,128,0.76
14,256,0.93
14,512,1.09
14,1024,1.33
14,2048,1.3
14,4096,1.77
14,8192,2.7
14,16384,5.46
14,32768,10.32
14,65536,22.21
14,131072,42.84
14,262144,245.08
14,524288,456.26
14,1048576,877.86
16,2,0.86
16,4,0.81
16,8,0.8
16,16,0.82
16,32,0.83
16,64,0.9
16,128,1.02
16,256,1.23
16,512,1.43
16,1024,1.68
16,2048,1.58
16,4096,2.06
16,8192,2.98
16,16384,5.65
16,32768,10.88
16,65536,23.39
16,131072,46.44
16,262144,275.9
16,524288,511.8
16,1048576,1001.13
18,2,0.76
18,4,0.73
18,8,0.76
18,16,0.74
18,32,0.76
18,64,0.86
18,128,1.03
18,256,1.21
18,512,1.35
18,1024,1.6
18,2048,1.41
18,4096,1.96
18,8192,3.17
18,16384,6.2
18,32768,12.66
18,65536,24.88
18,131072,52.98
18,262144,311.58
18,524288,573.46
18,1048576,1131.09
20,2,0.91
20,4,0.89
20,8,0.87
20,16,0.93
20,32,0.94
20,64,1.02
20,128,1.17
20,256,1.37
20,512,1.5
20,1024,1.74
20,2048,1.54
20,4096,2.08
20,8192,3.26
20,16384,5.9
20,32768,11.8
20,65536,25.91
20,131072,52.04
20,262144,343.79
20,524288,636.13
20,1048576,1274.04
22,2,0.81
22,4,0.79
22,8,0.78
22,16,0.83
22,32,0.84
22,64,0.92
22,128,1.06
22,256,1.19
22,512,1.32
22,1024,1.57
22,2048,1.52
22,4096,2.11
22,8192,3.55
22,16384,6.49
22,32768,13.85
22,65536,27.77
22,131072,57.08
22,262144,417.54
22,524288,755.67
22,1048576,1415.12
24,2,0.85
24,4,0.82
24,8,0.88
24,16,0.9
24,32,0.91
24,64,1.02
24,128,1.21
24,256,1.39
24,512,1.44
24,1024,1.64
24,2048,1.49
24,4096,2.17
24,8192,3.69
24,16384,7.04
24,32768,14.56
24,65536,39.9
24,131072,64.04
24,262144,410.03
24,524288,761.92
24,1048576,1561.21
26,2,0.88
26,4,0.86
26,8,0.86
26,16,0.86
26,32,0.91
26,64,0.94
26,128,1.32
26,256,1.5
26,512,1.67
26,1024,1.93
26,2048,1.78
26,4096,2.36
26,8192,3.72
26,16384,8.23
26,32768,14.91
26,65536,29.92
26,131072,62.47
26,262144,440.43
26,524288,819.0
26,1048576,1697.01
28,2,0.86
28,4,0.84
28,8,0.83
28,16,0.87
28,32,0.92
28,64,1.11
28,128,1.25
28,256,1.38
28,512,1.54
28,1024,1.75
28,2048,1.69
28,4096,2.25
28,8192,3.73
28,16384,7.59
28,32768,15.45
28,65536,34.49
28,131072,63.59
28,262144,475.25
28,524288,884.6
28,1048576,1888.33
30,2,0.93
30,4,0.94
30,8,0.95
30,16,1.04
30,32,1.07
30,64,1.12
30,128,1.36
30,256,1.53
30,512,1.67
30,1024,1.9
30,2048,1.78
30,4096,2.37
30,8192,3.89
30,16384,7.9
30,32768,17.82
30,65536,32.78
30,131072,68.05
30,262144,511.3
30,524288,955.5
30,1048576,2073.92
32,2,1.02
32,4,1.02
32,8,1.01
32,16,1.18
32,32,1.21
32,64,1.25
32,128,1.42
32,256,1.56
32,512,1.69
32,1024,1.92
32,2048,1.82
32,4096,2.39
32,8192,3.99
32,16384,8.23
32,32768,17.16
32,65536,36.46
32,131072,71.03
32,262144,539.19
32,524288,1003.52
32,1048576,2227.73
34,2,0.9
34,4,0.92
34,8,1.05
34,16,1.13
34,32,1.15
34,64,1.26
34,128,1.41
34,256,1.53
34,512,1.64
34,1024,1.88
34,2048,1.78
34,4096,2.47
34,8192,4.38
34,16384,8.98
34,32768,24.26
34,65536,37.37
34,131072,76.09
34,262144,590.28
34,524288,1080.11
34,1048576,2443.34
36,2,1.07
36,4,1.16
36,8,1.22
36,16,1.21
36,32,1.2
36,64,1.27
36,128,1.44
36,256,1.57
36,512,1.7
36,1024,1.89
36,2048,1.79
36,4096,2.5
36,8192,4.3
36,16384,8.95
36,32768,19.96
36,65536,38.84
36,131072,76.6
36,262144,616.71
36,524288,1139.59
36,1048576,2637.14
38,2,1.07
38,4,1.08
38,8,1.2
38,16,1.24
38,32,1.21
38,64,1.27
38,128,1.49
38,256,1.76
38,512,1.93
38,1024,2.12
38,2048,1.99
38,4096,2.58
38,8192,4.38
38,16384,9.1
38,32768,18.77
38,65536,39.29
38,131072,79.59
38,262144,640.47
38,524288,1213.62
38,1048576,2815.29
40,2,1.05
40,4,1.07
40,8,1.19
40,16,1.19
40,32,1.19
40,64,1.2
40,128,1.4
40,256,1.74
40,512,2.46
40,1024,3.77
40,2048,1.99
40,4096,2.61
40,8192,4.49
40,16384,9.48
40,32768,21.26
40,65536,43.04
40,131072,85.15
40,262144,685.38
40,524288,1277.74
40,1048576,3002.07
42,2,1.31
42,4,1.42
42,8,1.41
42,16,1.53
42,32,1.59
42,64,1.65
42,128,1.73
42,256,1.89
42,512,2.03
42,1024,2.24
42,2048,2.09
42,4096,2.81
42,8192,4.71
42,16384,10.98
42,32768,20.53
42,65536,42.22
42,131072,85.87
42,262144,714.53
42,524288,1366.34
42,1048576,3195.92
44,2,1.19
44,4,1.27
44,8,1.28
44,16,1.27
44,32,1.27
44,64,1.41
44,128,1.78
44,256,1.92
44,512,2.05
44,1024,2.26
44,2048,2.15
44,4096,2.83
44,8192,4.87
44,16384,10.1
44,32768,21.18
44,65536,44.01
44,131072,89.52
44,262144,745.39
44,524288,1431.93
44,1048576,3390.36
46,2,1.22
46,4,1.37
46,8,1.42
46,16,1.44
46,32,1.49
46,64,1.62
46,128,1.76
46,256,1.92
46,512,2.07
46,1024,2.32
46,2048,2.13
46,4096,2.91
46,8192,5.08
46,16384,13.43
46,32768,22.31
46,65536,45.42
46,131072,92.89
46,262144,783.01
46,524288,1496.43
46,1048576,3570.61
48,2,1.62
48,4,1.7
48,8,1.7
48,16,1.69
48,32,1.74
48,64,1.75
48,128,1.87
48,256,2.01
48,512,2.17
48,1024,2.39
48,2048,2.22
48,4096,2.92
48,8192,5.16
48,16384,10.89
48,32768,23.29
48,65536,49.41
48,131072,104.19
48,262144,811.48
48,524288,1579.26
48,1048576,3784.57
50,2,1.71
50,4,1.67
50,8,1.67
50,16,1.74
50,32,1.76
50,64,1.8
50,128,1.93
50,256,2.06
50,512,2.27
50,1024,2.52
50,2048,2.37
50,4096,3.1
50,8192,5.44
50,16384,11.91
50,32768,24.13
50,65536,51.41
50,131072,100.28
50,262144,841.8
50,524288,1664.73
50,1048576,3893.9
52,2,1.43
52,4,1.43
52,8,1.4
52,16,1.41
52,32,1.42
52,64,1.46
52,128,1.54
52,256,1.74
52,512,1.87
52,1024,2.04
52,2048,2.1
52,4096,3.3
52,8192,5.83
52,16384,12.19
52,32768,25.41
52,65536,51.72
52,131072,105.22
52,262144,875.0
52,524288,1717.81
52,1048576,4036.94
54,2,1.43
54,4,1.48
54,8,1.59
54,16,1.5
54,32,1.39
54,64,1.54
54,128,1.72
54,256,2.03
54,512,2.54
54,1024,2.78
54,2048,2.42
54,4096,3.32
54,8192,7.26
54,16384,11.98
54,32768,25.97
54,65536,54.22
54,131072,110.25
54,262144,903.22
54,524288,1799.87
54,1048576,4202.49
56,2,2.03
56,4,2.04
56,8,2.01
56,16,2.0
56,32,2.06
56,64,2.12
56,128,2.19
56,256,2.33
56,512,2.47
56,1024,2.74
56,2048,2.55
56,4096,3.37
56,8192,7.41
56,16384,12.23
56,32768,28.43
56,65536,55.87
56,131072,113.71
56,262144,962.98
56,524288,1883.5
56,1048576,4356.41
58,2,1.86
58,4,1.84
58,8,1.82
58,16,1.8
58,32,1.82
58,64,1.87
58,128,2.19
58,256,2.41
58,512,2.57
58,1024,2.76
58,2048,2.66
58,4096,3.42
58,8192,7.95
58,16384,12.54
58,32768,27.37
58,65536,57.16
58,131072,119.76
58,262144,979.78
58,524288,1977.53
58,1048576,4519.3
60,2,1.59
60,4,1.63
60,8,1.8
60,16,1.77
60,32,1.79
60,64,2.08
60,128,2.29
60,256,2.52
60,512,2.7
60,1024,2.92
60,2048,2.72
60,4096,3.5
60,8192,7.38
60,16384,12.92
60,32768,28.55
60,65536,62.14
60,131072,125.09
60,262144,1037.81
60,524288,2059.99
60,1048576,4707.82
62,2,1.7
62,4,1.9
62,8,1.98
62,16,1.97
62,32,2.0
62,64,2.03
62,128,2.24
62,256,2.57
62,512,2.71
62,1024,2.83
62,2048,2.85
62,4096,3.56
62,8192,7.18
62,16384,15.42
62,32768,29.37
62,65536,64.13
62,131072,130.19
62,262144,1067.8
62,524288,2151.4
62,1048576,4859.81
64,2,1.8
64,4,1.96
64,8,2.0
64,16,2.02
64,32,1.92
64,64,2.0
64,128,2.2
64,256,2.27
64,512,2.97
64,1024,3.87
64,2048,3.67
64,4096,3.24
64,8192,6.45
64,16384,15.12
64,32768,30.44
64,65536,64.08
64,131072,135.01
64,262144,1099.93
64,524288,2225.8
64,1048576,4988.29
66,2,1.7
66,4,1.86
66,8,2.03
66,16,2.06
66,32,2.0
66,64,2.04
66,128,2.11
66,256,2.43
66,512,2.85
66,1024,3.72
66,2048,3.15
66,4096,3.4
66,8192,6.37
66,16384,13.28
66,32768,31.75
66,65536,62.51
66,131072,137.99
66,262144,1128.37
66,524288,2338.38
66,1048576,5122.1
68,2,1.94
68,4,1.98
68,8,1.99
68,16,2.03
68,32,1.95
68,64,2.0
68,128,2.2
68,256,2.38
68,512,2.56
68,1024,2.76
68,2048,2.63
68,4096,3.75
68,8192,6.71
68,16384,14.37
68,32768,32.98
68,65536,67.55
68,131072,147.28
68,262144,1158.53
68,524288,2411.27
68,1048576,5270.99
70,2,1.98
70,4,2.21
70,8,2.19
70,16,2.15
70,32,2.24
70,64,2.32
70,128,2.43
70,256,2.72
70,512,2.82
70,1024,3.05
70,2048,3.56
70,4096,3.69
70,8192,6.81
70,16384,14.15
70,32768,31.48
70,65536,67.55
70,131072,145.34
70,262144,1194.46
70,524288,2507.64
70,1048576,5469.97
72,2,2.03
72,4,2.1
72,8,2.11
72,16,2.11
72,32,2.12
72,64,2.26
72,128,2.37
72,256,2.7
72,512,2.99
72,1024,3.84
72,2048,3.04
72,4096,3.8
72,8192,7.92
72,16384,15.4
72,32768,34.2
72,65536,73.21
72,131072,150.79
72,262144,1236.7
72,524288,2602.53
72,1048576,5566.12
74,2,2.09
74,4,2.23
74,8,2.23
74,16,2.24
74,32,2.26
74,64,2.24
74,128,2.32
74,256,2.55
74,512,2.65
74,1024,2.88
74,2048,3.0
74,4096,3.96
74,8192,8.15
74,16384,19.18
74,32768,39.42
74,65536,77.88
74,131072,161.53
74,262144,1268.91
74,524288,2703.14
74,1048576,5715.72
76,2,2.27
76,4,2.28
76,8,2.26
76,16,2.27
76,32,2.33
76,64,2.21
