Processes,Size,Latency
2,4,0.30
3,4,0.62
4,4,0.68
5,4,1.14
6,4,1.48
7,4,1.90
8,4,2.15
9,4,3.20
10,4,3.55
11,4,4.04
12,4,4.24
13,4,4.51
14,4,4.92
15,4,5.41
16,4,5.15
17,4,6.18
18,4,6.63
19,4,7.58
20,4,7.97
21,4,8.26
22,4,8.39
23,4,8.69
24,4,9.19
25,4,9.40
26,4,9.97
27,4,10.26
28,4,10.75
29,4,11.09
30,4,11.62
31,4,12.25
32,4,12.05
33,4,12.80
34,4,13.19
35,4,13.87
36,4,14.32
37,4,14.98
38,4,15.62
39,4,15.91
40,4,16.31
41,4,16.93
42,4,17.50
43,4,17.93
44,4,18.49
45,4,18.77
46,4,19.43
47,4,19.93
48,4,20.51
49,4,20.80
50,4,21.62
51,4,21.64
52,4,22.63
53,4,23.43
54,4,24.06
55,4,23.72
56,4,24.55
57,4,24.81
58,4,25.29
59,4,26.23
60,4,27.39
61,4,26.67
62,4,27.19
63,4,27.97
64,4,27.62
65,4,28.17
66,4,28.87
67,4,29.93
68,4,30.45
69,4,31.00
70,4,31.62
71,4,32.42
72,4,32.93
73,4,33.35
74,4,34.13
75,4,34.87
76,4,35.14
77,4,35.98
78,4,36.82
79,4,37.41
80,4,37.88
81,4,38.48
82,4,39.16
83,4,39.82
84,4,41.22
85,4,41.28
86,4,41.89
87,4,42.73
88,4,43.02
89,4,43.67
90,4,44.30
91,4,45.01
92,4,45.81
93,4,46.43
94,4,47.27
95,4,48.12
96,4,48.11
97,4,48.70
98,4,49.47
99,4,50.02
100,4,51.15
101,4,51.63
102,4,52.65
103,4,53.28
104,4,53.88
105,4,54.64
106,4,55.43
107,4,56.18
108,4,56.81
109,4,57.79
110,4,58.50
111,4,59.14
112,4,59.72
113,4,60.14
114,4,61.09
115,4,61.79
116,4,62.77
117,4,63.51
118,4,64.15
119,4,65.08
120,4,65.67
121,4,66.29
122,4,67.13
123,4,68.20
124,4,68.87
125,4,69.22
126,4,70.00
127,4,70.70
128,4,70.29
129,4,71.30
130,4,71.92
131,4,73.46
132,4,74.54
133,4,75.66
134,4,76.85
135,4,78.14
136,4,78.70
137,4,79.85
138,4,80.97
139,4,82.51
140,4,83.19
141,4,84.14
142,4,85.68
143,4,86.75
144,4,87.22
145,4,88.20
146,4,89.23
147,4,90.86
148,4,91.96
149,4,93.52
150,4,94.90
151,4,95.93
152,4,97.92
153,4,97.65
154,4,98.78
155,4,99.96
156,4,102.22
157,4,102.53
158,4,104.02
159,4,105.94
160,4,106.32
161,4,107.80
162,4,109.04
163,4,111.88
164,4,111.94
165,4,112.75
166,4,114.95
167,4,117.15
168,4,117.62
169,4,119.34
170,4,121.65
171,4,122.12
172,4,123.73
173,4,125.47
174,4,127.14
175,4,128.16
176,4,130.34
177,4,131.10
178,4,133.16
179,4,134.80
180,4,136.67
181,4,138.54
182,4,140.97
183,4,142.92
184,4,143.41
185,4,145.10
186,4,145.77
187,4,149.00
188,4,150.73
189,4,150.73
190,4,153.53
191,4,156.44
192,4,157.36
193,4,161.90
194,4,160.50
195,4,162.91
196,4,165.50
197,4,166.53
198,4,168.36
199,4,172.08
200,4,171.35
201,4,172.52
202,4,176.53
203,4,176.03
204,4,180.98
205,4,181.91
206,4,182.78
207,4,184.59
208,4,185.36
209,4,188.02
210,4,191.24
211,4,194.11
212,4,197.70
213,4,197.30
214,4,200.51
215,4,201.84
216,4,201.85
217,4,202.07
218,4,204.80
219,4,207.01
220,4,209.40
221,4,211.73
222,4,214.73
223,4,218.70
224,4,216.33
225,4,219.78
226,4,224.77
227,4,222.39
228,4,223.32
229,4,228.77
230,4,229.16
231,4,231.25
232,4,231.79
233,4,235.35
234,4,238.21
235,4,238.60
236,4,240.33
237,4,241.81
238,4,245.80
239,4,248.09
240,4,248.86
241,4,252.60
242,4,254.31
243,4,254.02
244,4,257.63
245,4,259.88
246,4,262.13
247,4,264.40
248,4,265.64
249,4,265.31
250,4,268.89
251,4,271.51
252,4,271.61
253,4,274.03
254,4,274.88
255,4,276.18
256,4,274.95
