Processes,Size,Latency
2,2,1.24
2,4,1.23
2,8,1.24
2,16,1.23
2,32,1.36
2,64,1.37
2,128,1.43
2,256,1.44
2,512,1.71
2,1024,1.76
2,2048,2.21
2,4096,3.0
2,8192,4.47
2,16384,7.41
2,32768,12.68
2,65536,22.03
2,131072,43.04
2,262144,51.11
2,524288,92.37
2,1048576,154.42
4,2,2.73
4,4,2.83
4,8,2.86
4,16,2.85
4,32,3.23
4,64,3.19
4,128,3.41
4,256,3.57
4,512,3.72
4,1024,4.24
4,2048,5.49
4,4096,6.88
4,8192,9.94
4,16384,15.9
4,32768,26.58
4,65536,49.37
4,131072,88.07
4,262144,89.25
4,524288,171.61
4,1048576,336.43
6,2,4.09
6,4,4.25
6,8,4.24
6,16,4.46
6,32,4.97
6,64,4.95
6,128,5.58
6,256,5.57
6,512,5.71
6,1024,6.51
6,2048,8.29
6,4096,10.13
6,8192,14.92
6,16384,23.35
6,32768,38.04
6,65536,69.21
6,131072,144.87
6,262144,158.29
6,524288,314.51
6,1048576,585.34
8,2,6.32
8,4,6.41
8,8,6.67
8,16,6.74
8,32,7.56
8,64,7.26
8,128,8.07
8,256,7.89
8,512,8.04
8,1024,8.54
8,2048,10.85
8,4096,14.85
8,8192,20.65
8,16384,31.92
8,32768,54.42
8,65536,98.57
8,131072,186.5
8,262144,205.98
8,524288,389.04
8,1048576,693.74
10,2,8.71
10,4,8.53
10,8,8.49
10,16,8.52
10,32,9.47
10,64,9.4
10,128,10.75
10,256,10.75
10,512,10.85
10,1024,11.8
10,2048,14.77
10,4096,18.12
10,8192,25.69
10,16384,38.18
10,32768,60.8
10,65536,110.62
10,131072,197.99
10,262144,248.27
10,524288,459.91
10,1048576,869.33
12,2,9.56
12,4,9.73
12,8,9.71
12,16,9.62
12,32,10.7
12,64,10.56
12,128,12.26
12,256,12.38
12,512,12.57
12,1024,13.69
12,2048,17.22
12,4096,21.15
12,8192,30.15
12,16384,45.82
12,32768,80.99
12,65536,144.4
12,131072,271.71
12,262144,324.06
12,524288,591.83
12,1048576,1074.88
14,2,9.98
14,4,10.64
14,8,10.66
14,16,10.72
14,32,11.76
14,64,12.6
14,128,14.25
14,256,14.23
14,512,14.57
14,1024,16.47
14,2048,20.63
14,4096,27.11
14,8192,42.24
14,16384,54.59
14,32768,91.85
14,65536,164.55
14,131072,308.56
14,262144,338.69
14,524288,618.44
14,1048576,1418.7
16,2,11.08
16,4,12.2
16,8,12.36
16,16,12.38
16,32,13.46
16,64,13.92
16,128,16.32
16,256,16.61
16,512,16.88
16,1024,18.57
16,2048,23.02
16,4096,32.28
16,8192,39.92
16,16384,60.12
16,32768,101.69
16,65536,181.24
16,131072,342.31
16,262144,443.95
16,524288,721.56
16,1048576,1507.99
18,2,14.41
18,4,14.45
18,8,14.28
18,16,14.33
18,32,15.91
18,64,15.97
18,128,18.57
18,256,18.71
18,512,19.06
18,1024,21.18
18,2048,31.43
18,4096,31.78
18,8192,45.6
18,16384,68.41
18,32768,115.28
18,65536,193.68
18,131072,361.99
18,262144,442.4
18,524288,764.92
18,1048576,1818.8
20,2,15.19
20,4,15.73
20,8,15.68
20,16,15.94
20,32,18.09
20,64,17.97
20,128,20.19
20,256,20.09
20,512,20.93
20,1024,23.37
20,2048,30.06
20,4096,36.32
20,8192,49.99
20,16384,74.41
20,32768,117.75
20,65536,210.02
20,131072,377.28
20,262144,478.47
20,524288,877.44
20,1048576,2035.01
22,2,17.13
22,4,17.28
22,8,17.71
22,16,17.95
22,32,19.44
22,64,19.26
22,128,22.08
22,256,22.34
22,512,30.05
22,1024,28.02
22,2048,31.91
22,4096,40.94
22,8192,54.95
22,16384,80.84
22,32768,135.34
22,65536,229.4
22,131072,417.55
22,262144,543.12
22,524288,947.37
22,1048576,2350.51
24,2,19.34
24,4,19.2
24,8,19.36
24,16,19.49
24,32,21.32
24,64,21.18
24,128,24.76
24,256,24.93
24,512,26.12
24,1024,28.28
24,2048,36.07
24,4096,45.11
24,8192,61.93
24,16384,94.44
24,32768,154.05
24,65536,274.63
24,131072,484.7
24,262144,624.2
24,524288,1041.95
24,1048576,2654.43
26,2,19.21
26,4,19.19
26,8,19.56
26,16,19.85
26,32,22.14
26,64,22.03
26,128,26.03
26,256,35.28
26,512,26.61
26,1024,29.76
26,2048,36.09
26,4096,45.43
26,8192,64.07
26,16384,96.63
26,32768,160.04
26,65536,271.48
26,131072,497.1
26,262144,645.77
26,524288,1159.82
26,1048576,2967.5
28,2,21.68
28,4,21.83
28,8,21.85
28,16,21.68
28,32,24.06
28,64,23.79
28,128,33.22
28,256,30.07
28,512,29.01
28,1024,32.51
28,2048,39.89
28,4096,51.02
