cores,threads,width,height,time
1,1,10000,10000,56.279287
2,1,10000,10000,28.092758
3,1,10000,10000,33.779809
4,1,10000,10000,22.627066
5,1,10000,10000,22.375882
6,1,10000,10000,17.030467
7,1,10000,10000,16.228314
8,1,10000,10000,13.591113
9,1,10000,10000,12.736164
10,1,10000,10000,11.129845
11,1,10000,10000,10.470066
12,1,10000,10000,9.406610
13,1,10000,10000,8.906141
14,1,10000,10000,8.104187
15,1,10000,10000,7.775621
16,1,10000,10000,7.123198
17,1,10000,10000,6.889610
18,1,10000,10000,6.384670
19,1,10000,10000,6.180315
20,1,10000,10000,5.748452
21,1,10000,10000,5.591662
22,1,10000,10000,5.267123
23,1,10000,10000,5.119934
24,1,10000,10000,4.840739
25,1,10000,10000,4.717104
26,1,10000,10000,4.497133
27,1,10000,10000,4.410021
28,1,10000,10000,4.182788
29,1,10000,10000,4.099330
30,1,10000,10000,3.917933
31,1,10000,10000,3.839716
32,1,10000,10000,3.696231
33,1,10000,10000,3.602339
34,1,10000,10000,3.477333
35,1,10000,10000,3.403949
36,1,10000,10000,3.289269
37,1,10000,10000,3.228347
38,1,10000,10000,3.128108
39,1,10000,10000,3.060055
40,1,10000,10000,2.974282
41,1,10000,10000,2.923064
42,1,10000,10000,2.838515
43,1,10000,10000,2.794229
44,1,10000,10000,2.714853
45,1,10000,10000,2.674025
46,1,10000,10000,2.599649
47,1,10000,10000,2.569002
48,1,10000,10000,2.493826
49,1,10000,10000,2.453944
50,1,10000,10000,2.401198
51,1,10000,10000,2.369664
52,1,10000,10000,2.306001
53,1,10000,10000,2.281318
54,1,10000,10000,2.230222
55,1,10000,10000,2.201652
56,1,10000,10000,2.156461
57,1,10000,10000,2.129788
58,1,10000,10000,2.073628
59,1,10000,10000,2.058504
60,1,10000,10000,2.016295
61,1,10000,10000,1.996025
62,1,10000,10000,1.947510
63,1,10000,10000,1.938308
64,1,10000,10000,1.889114
65,1,10000,10000,1.877184
66,1,10000,10000,1.845225
67,1,10000,10000,1.818994
68,1,10000,10000,1.782543
69,1,10000,10000,1.778192
70,1,10000,10000,1.742617
71,1,10000,10000,1.727656
72,1,10000,10000,1.689580
73,1,10000,10000,1.682829
74,1,10000,10000,1.646394
75,1,10000,10000,1.635151
76,1,10000,10000,1.613912
77,1,10000,10000,1.605701
78,1,10000,10000,1.568737
79,1,10000,10000,1.565864
80,1,10000,10000,1.531180
81,1,10000,10000,1.516561
82,1,10000,10000,1.492225
83,1,10000,10000,1.483815
84,1,10000,10000,1.459553
85,1,10000,10000,1.461715
86,1,10000,10000,1.428772
87,1,10000,10000,1.429500
88,1,10000,10000,1.406267
89,1,10000,10000,1.391760
90,1,10000,10000,1.372155
