cores,threads,width,height,time
1,1,1000.00,1000.00,0.569087
2,1,1414.21,1414.21,0.568302
3,1,1732.05,1732.05,1.013125
4,1,2000.00,2000.00,0.916001
5,1,2236.06,2236.06,1.123058
6,1,2449.48,2449.48,1.025385
7,1,2645.75,2645.75,1.142648
8,1,2828.42,2828.42,1.090819
9,1,3000.00,3000.00,1.152315
10,1,3162.27,3162.27,1.120221
11,1,3316.62,3316.62,1.155235
12,1,3464.10,3464.10,1.137561
13,1,3605.55,3605.55,1.162120
14,1,3741.65,3741.65,1.133432
15,1,3872.98,3872.98,1.167889
16,1,4000.00,4000.00,1.141552
17,1,4123.10,4123.10,1.174451
18,1,4242.64,4242.64,1.150499
19,1,4358.89,4358.89,1.174815
20,1,4472.13,4472.13,1.157534
21,1,4582.57,4582.57,1.187539
22,1,4690.41,4690.41,1.158829
23,1,4795.83,4795.83,1.177778
24,1,4898.97,4898.97,1.163256
25,1,5000.00,5000.00,1.184928
26,1,5099.01,5099.01,1.166990
27,1,5196.15,5196.15,1.184836
28,1,5291.50,5291.50,1.172232
29,1,5385.16,5385.16,1.188279
30,1,5477.22,5477.22,1.181146
31,1,5567.76,5567.76,1.192843
32,1,5656.85,5656.85,1.182490
33,1,5744.56,5744.56,1.195961
34,1,5830.95,5830.95,1.187500
35,1,5916.07,5916.07,1.194249
36,1,6000.00,6000.00,1.190714
37,1,6082.76,6082.76,1.193730
38,1,6164.41,6164.41,1.187691
39,1,6244.99,6244.99,1.198046
40,1,6324.55,6324.55,1.190415
41,1,6403.12,6403.12,1.201871
42,1,6480.74,6480.74,1.193673
43,1,6557.43,6557.43,1.207498
44,1,6633.24,6633.24,1.195625
45,1,6708.20,6708.20,1.203693
46,1,6782.32,6782.32,1.196515
47,1,6855.65,6855.65,1.209325
48,1,6928.20,6928.20,1.205679
49,1,7000.00,7000.00,1.214036
50,1,7071.06,7071.06,1.207483
51,1,7141.42,7141.42,1.216441
52,1,7211.10,7211.10,1.216783
53,1,7280.10,7280.10,1.223366
54,1,7348.46,7348.46,1.219582
55,1,7416.19,7416.19,1.234604
56,1,7483.31,7483.31,1.232577
57,1,7549.83,7549.83,1.235261
58,1,7615.77,7615.77,1.235429
59,1,7681.14,7681.14,1.246514
60,1,7745.96,7745.96,1.245026
61,1,7810.24,7810.24,1.262084
62,1,7874.00,7874.00,1.256776
63,1,7937.25,7937.25,1.268717
64,1,8000.00,8000.00,1.267314
65,1,8062.25,8062.25,1.273627
66,1,8124.03,8124.03,1.263233
67,1,8185.35,8185.35,1.271673
68,1,8246.21,8246.21,1.264077
69,1,8306.62,8306.62,1.273189
70,1,8366.60,8366.60,1.277343
71,1,8426.14,8426.14,1.281186
72,1,8485.28,8485.28,1.266207
73,1,8544.00,8544.00,1.279291
74,1,8602.32,8602.32,1.267035
75,1,8660.25,8660.25,1.272911
76,1,8717.79,8717.79,1.272315
77,1,8774.96,8774.96,1.281075
78,1,8831.76,8831.76,1.264520
79,1,8888.19,8888.19,1.284440
80,1,8944.27,8944.27,1.272808
81,1,9000.00,9000.00,1.283859
82,1,9055.38,9055.38,1.267814
83,1,9110.43,9110.43,1.286402
84,1,9165.15,9165.15,1.267958
85,1,9219.54,9219.54,1.274538
86,1,9273.61,9273.61,1.274624
87,1,9327.37,9327.37,1.280954
88,1,9380.83,9380.83,1.290616
89,1,9433.98,9433.98,1.286084
90,1,9486.83,9486.83,1.279787
91,1,9539.39,9539.39,1.292885
92,1,9591.66,9591.66,1.277076
93,1,9643.65,9643.65,1.291434
94,1,9695.35,9695.35,1.277825
95,1,9746.79,9746.79,1.300041
96,1,9797.95,9797.95,1.282924
97,1,9848.85,9848.85,1.299171
98,1,9899.49,9899.49,1.282893
