cores,threads,width,height,time
1,1,10000,10000,55.599610
1,2,10000,10000,27.925333
1,3,10000,10000,18.576822
1,4,10000,10000,13.988573
1,5,10000,10000,11.194511
1,6,10000,10000,9.342420
1,7,10000,10000,8.040161
1,8,10000,10000,7.090583
1,9,10000,10000,6.260059
1,10,10000,10000,5.644504
1,11,10000,10000,5.139159
1,12,10000,10000,4.718314
1,13,10000,10000,4.359660
1,14,10000,10000,4.060014
1,15,10000,10000,3.795022
1,16,10000,10000,3.566871
1,17,10000,10000,3.362765
1,18,10000,10000,3.185559
1,19,10000,10000,3.013483
1,20,10000,10000,2.868542
1,21,10000,10000,2.737305
1,22,10000,10000,2.619102
1,23,10000,10000,2.510586
1,24,10000,10000,2.414430
1,25,10000,10000,2.325175
1,26,10000,10000,2.244508
1,27,10000,10000,2.170323
1,28,10000,10000,2.095806
1,29,10000,10000,2.042383
1,30,10000,10000,1.950702
1,31,10000,10000,1.884633
1,32,10000,10000,1.836535
1,33,10000,10000,1.775127
1,34,10000,10000,1.717238
1,35,10000,10000,1.676241
1,36,10000,10000,1.631708
1,37,10000,10000,1.587216
1,38,10000,10000,1.546580
1,39,10000,10000,1.507010
1,40,10000,10000,1.474162
1,41,10000,10000,1.439461
1,42,10000,10000,1.409628
1,43,10000,10000,1.378395
1,44,10000,10000,1.346914
1,45,10000,10000,1.318887
1,46,10000,10000,1.290940
1,47,10000,10000,1.269515
1,48,10000,10000,1.245770
1,49,10000,10000,1.221871
1,50,10000,10000,1.198734
1,51,10000,10000,1.177048
1,52,10000,10000,1.156711
1,53,10000,10000,1.137255
1,54,10000,10000,1.115969
1,55,10000,10000,1.098413
1,56,10000,10000,1.080044
1,57,10000,10000,1.062214
1,58,10000,10000,1.046590
1,59,10000,10000,1.029891
1,60,10000,10000,1.015811
1,61,10000,10000,0.997312
1,62,10000,10000,0.984363
1,63,10000,10000,0.973943
1,64,10000,10000,0.959984
1,65,10000,10000,0.961512
1,66,10000,10000,0.960558
1,67,10000,10000,0.961294
1,68,10000,10000,0.960118
1,69,10000,10000,0.961165
1,70,10000,10000,0.960064
1,71,10000,10000,0.954084
1,72,10000,10000,0.958979
1,73,10000,10000,0.960042
1,74,10000,10000,0.956783
1,75,10000,10000,0.955823
1,76,10000,10000,0.955110
1,77,10000,10000,0.957658
1,78,10000,10000,0.957252
1,79,10000,10000,0.958747
1,80,10000,10000,0.958893
1,81,10000,10000,0.957586
1,82,10000,10000,0.986748
1,83,10000,10000,0.957865
1,84,10000,10000,0.954803
1,85,10000,10000,0.955370
1,86,10000,10000,0.957297
1,87,10000,10000,0.955725
1,88,10000,10000,0.956860
1,89,10000,10000,0.955794
1,90,10000,10000,0.956415
1,91,10000,10000,0.957153
1,92,10000,10000,0.956895
1,93,10000,10000,0.956391
1,94,10000,10000,0.954776
1,95,10000,10000,0.955407
1,96,10000,10000,0.955003
1,97,10000,10000,0.956418
1,98,10000,10000,0.955362
1,99,10000,10000,0.956168
1,100,10000,10000,0.955094
1,101,10000,10000,0.959040
1,102,10000,10000,0.958002
1,103,10000,10000,0.958545
1,104,10000,10000,0.959658
1,105,10000,10000,0.959614
1,106,10000,10000,0.959146
1,107,10000,10000,0.957136
1,108,10000,10000,0.958819
1,109,10000,10000,0.958597
1,110,10000,10000,0.958407
1,111,10000,10000,0.956864
1,112,10000,10000,0.958070
1,113,10000,10000,0.958322
1,114,10000,10000,0.957889
1,115,10000,10000,0.956620
1,116,10000,10000,0.956046
1,117,10000,10000,0.957679
1,118,10000,10000,0.954926
1,119,10000,10000,0.961855
1,120,10000,10000,0.955810
1,121,10000,10000,0.956928
1,122,10000,10000,0.954541
1,123,10000,10000,0.954462
1,124,10000,10000,0.954421
1,125,10000,10000,0.954507
1,126,10000,10000,0.954259
1,127,10000,10000,0.954082
1,128,10000,10000,0.956913
