cores,threads,width,height,time
1,1,1000.00,1000.00,0.273851
1,2,1414.21,1414.21,0.273901
1,3,1732.05,1732.05,0.275725
1,4,2000.00,2000.00,0.276000
1,5,2236.06,2236.06,0.276226
1,6,2449.48,2449.48,0.276189
1,7,2645.75,2645.75,0.276139
1,8,2828.42,2828.42,0.273170
1,9,3000.00,3000.00,0.274015
1,10,3162.27,3162.27,0.275494
1,11,3316.62,3316.62,0.274941
1,12,3464.10,3464.10,0.276732
1,13,3605.55,3605.55,0.275415
1,14,3741.65,3741.65,0.274227
1,15,3872.98,3872.98,0.274232
1,16,4000.00,4000.00,0.275315
1,17,4123.10,4123.10,0.277006
1,18,4242.64,4242.64,0.274408
1,19,4358.89,4358.89,0.274316
1,20,4472.13,4472.13,0.275773
1,21,4582.57,4582.57,0.274951
1,22,4690.41,4690.41,0.275589
1,23,4795.83,4795.83,0.274103
1,24,4898.97,4898.97,0.275258
1,25,5000.00,5000.00,0.276756
1,26,5099.01,5099.01,0.274748
1,27,5196.15,5196.15,0.277216
1,28,5291.50,5291.50,0.273607
1,29,5385.16,5385.16,0.276958
1,30,5477.22,5477.22,0.274646
1,31,5567.76,5567.76,0.276697
1,32,5656.85,5656.85,0.277339
1,33,5744.56,5744.56,0.278391
1,34,5830.95,5830.95,0.274993
1,35,5916.07,5916.07,0.276309
1,36,6000.00,6000.00,0.275803
1,37,6082.76,6082.76,0.275975
1,38,6164.41,6164.41,0.275043
1,39,6244.99,6244.99,0.275203
1,40,6324.55,6324.55,0.278107
1,41,6403.12,6403.12,0.275369
1,42,6480.74,6480.74,0.276757
1,43,6557.43,6557.43,0.278540
1,44,6633.24,6633.24,0.275246
1,45,6708.20,6708.20,0.276100
1,46,6782.32,6782.32,0.276982
1,47,6855.65,6855.65,0.275938
1,48,6928.20,6928.20,0.276515
1,49,7000.00,7000.00,0.275400
1,50,7071.06,7071.06,0.275140
1,51,7141.42,7141.42,0.276202
1,52,7211.10,7211.10,0.275671
1,53,7280.10,7280.10,0.276374
1,54,7348.46,7348.46,0.275468
1,55,7416.19,7416.19,0.275805
1,56,7483.31,7483.31,0.274986
1,57,7549.83,7549.83,0.274336
1,58,7615.77,7615.77,0.275578
1,59,7681.14,7681.14,0.276296
1,60,7745.96,7745.96,0.277101
1,61,7810.24,7810.24,0.278093
1,62,7874.00,7874.00,0.276627
1,63,7937.25,7937.25,0.276750
1,64,8000.00,8000.00,0.276179
1,65,8062.25,8062.25,0.277154
1,66,8124.03,8124.03,0.277133
1,67,8185.35,8185.35,0.278477
1,68,8246.21,8246.21,0.276945
1,69,8306.62,8306.62,0.275956
1,70,8366.60,8366.60,0.276932
1,71,8426.14,8426.14,0.276517
1,72,8485.28,8485.28,0.278505
1,73,8544.00,8544.00,0.276121
1,74,8602.32,8602.32,0.278825
1,75,8660.25,8660.25,0.277461
1,76,8717.79,8717.79,0.278773
1,77,8774.96,8774.96,0.277519
1,78,8831.76,8831.76,0.279014
1,79,8888.19,8888.19,0.278099
1,80,8944.27,8944.27,0.279448
1,81,9000.00,9000.00,0.277983
1,82,9055.38,9055.38,0.277767
1,83,9110.43,9110.43,0.277101
1,84,9165.15,9165.15,0.278874
1,85,9219.54,9219.54,0.277867
1,86,9273.61,9273.61,0.278686
1,87,9327.37,9327.37,0.277779
1,88,9380.83,9380.83,0.277257
1,89,9433.98,9433.98,0.279609
1,90,9486.83,9486.83,0.277795
1,91,9539.39,9539.39,0.279483
1,92,9591.66,9591.66,0.277725
1,93,9643.65,9643.65,0.276287
1,94,9695.35,9695.35,0.276720
1,95,9746.79,9746.79,0.277953
1,96,9797.95,9797.95,0.276484
1,97,9848.85,9848.85,0.276230
1,98,9899.49,9899.49,0.277333
1,99,9949.87,9949.87,0.278485
1,100,10000.00,10000.00,0.278564
1,101,10049.87,10049.87,0.277757
1,102,10099.50,10099.50,0.277069
1,103,10148.89,10148.89,0.276014
1,104,10198.03,10198.03,0.277594
1,105,10246.95,10246.95,0.278905
1,106,10295.63,10295.63,0.278319
1,107,10344.08,10344.08,0.278252
1,108,10392.30,10392.30,0.278706
1,109,10440.30,10440.30,0.279457
1,110,10488.08,10488.08,0.280269
1,111,10535.65,10535.65,0.276345
1,112,10583.00,10583.00,0.278270
1,113,10630.14,10630.14,0.278355
1,114,10677.07,10677.07,0.277684
1,115,10723.80,10723.80,0.279042
1,116,10770.32,10770.32,0.281060
1,117,10816.65,10816.65,0.278537
1,118,10862.78,10862.78,0.280643
1,119,10908.71,10908.71,0.280521
1,120,10954.45,10954.45,0.280774
1,121,11000.00,11000.00,0.279622
1,122,11045.36,11045.36,0.280269
1,123,11090.53,11090.53,0.279035
1,124,11135.52,11135.52,0.280083
1,125,11180.33,11180.33,0.282299
1,126,11224.97,11224.97,0.280705
1,127,11269.42,11269.42,0.277391
1,128,11313.70,11313.70,0.281122
