Eseguito con cores=1, threads=1, width=10000, height=10000, time=55.606368
Eseguito con cores=1, threads=2, width=10000, height=10000, time=27.834620
Eseguito con cores=1, threads=3, width=10000, height=10000, time=18.629240
Eseguito con cores=1, threads=4, width=10000, height=10000, time=13.986381
Eseguito con cores=1, threads=5, width=10000, height=10000, time=11.197600
Eseguito con cores=1, threads=6, width=10000, height=10000, time=9.349249
Eseguito con cores=1, threads=7, width=10000, height=10000, time=8.042483
Eseguito con cores=1, threads=8, width=10000, height=10000, time=7.066517
Eseguito con cores=1, threads=9, width=10000, height=10000, time=6.267896
Eseguito con cores=1, threads=10, width=10000, height=10000, time=5.648889
Eseguito con cores=1, threads=11, width=10000, height=10000, time=5.140377
Eseguito con cores=1, threads=12, width=10000, height=10000, time=4.731218
Eseguito con cores=1, threads=13, width=10000, height=10000, time=4.367657
Eseguito con cores=1, threads=14, width=10000, height=10000, time=4.062082
Eseguito con cores=1, threads=15, width=10000, height=10000, time=3.794786
Eseguito con cores=1, threads=16, width=10000, height=10000, time=3.566753
Eseguito con cores=1, threads=17, width=10000, height=10000, time=3.369498
Eseguito con cores=1, threads=18, width=10000, height=10000, time=3.184259
Eseguito con cores=1, threads=19, width=10000, height=10000, time=3.017857
Eseguito con cores=1, threads=20, width=10000, height=10000, time=2.871407
Eseguito con cores=1, threads=21, width=10000, height=10000, time=2.738687
Eseguito con cores=1, threads=22, width=10000, height=10000, time=2.622525
Eseguito con cores=1, threads=23, width=10000, height=10000, time=2.512721
Eseguito con cores=1, threads=24, width=10000, height=10000, time=2.415752
Eseguito con cores=1, threads=25, width=10000, height=10000, time=2.324379
Eseguito con cores=1, threads=26, width=10000, height=10000, time=2.252021
Eseguito con cores=1, threads=27, width=10000, height=10000, time=2.166321
Eseguito con cores=1, threads=28, width=10000, height=10000, time=2.104734
Eseguito con cores=1, threads=29, width=10000, height=10000, time=2.045857
Eseguito con cores=1, threads=30, width=10000, height=10000, time=1.948526
Eseguito con cores=1, threads=31, width=10000, height=10000, time=1.888200
Eseguito con cores=1, threads=32, width=10000, height=10000, time=1.828581
Eseguito con cores=1, threads=33, width=10000, height=10000, time=1.771748
Eseguito con cores=1, threads=34, width=10000, height=10000, time=1.719681
Eseguito con cores=1, threads=35, width=10000, height=10000, time=1.672141
Eseguito con cores=1, threads=36, width=10000, height=10000, time=1.629369
Eseguito con cores=1, threads=37, width=10000, height=10000, time=1.587227
Eseguito con cores=1, threads=38, width=10000, height=10000, time=1.545553
Eseguito con cores=1, threads=39, width=10000, height=10000, time=1.510692
Eseguito con cores=1, threads=40, width=10000, height=10000, time=1.471826
Eseguito con cores=1, threads=41, width=10000, height=10000, time=1.441344
Eseguito con cores=1, threads=42, width=10000, height=10000, time=1.401766
Eseguito con cores=1, threads=43, width=10000, height=10000, time=1.376458
Eseguito con cores=1, threads=44, width=10000, height=10000, time=1.349059
Eseguito con cores=1, threads=45, width=10000, height=10000, time=1.321542
Eseguito con cores=1, threads=46, width=10000, height=10000, time=1.294512
Eseguito con cores=1, threads=47, width=10000, height=10000, time=1.268695
Eseguito con cores=1, threads=48, width=10000, height=10000, time=1.244966
Eseguito con cores=1, threads=49, width=10000, height=10000, time=1.220240
Eseguito con cores=1, threads=50, width=10000, height=10000, time=1.197712
Eseguito con cores=1, threads=51, width=10000, height=10000, time=1.178104
Eseguito con cores=1, threads=52, width=10000, height=10000, time=1.157652
Eseguito con cores=1, threads=53, width=10000, height=10000, time=1.134513
Eseguito con cores=1, threads=54, width=10000, height=10000, time=1.115766
Eseguito con cores=1, threads=55, width=10000, height=10000, time=1.098103
Eseguito con cores=1, threads=56, width=10000, height=10000, time=1.080481
Eseguito con cores=1, threads=57, width=10000, height=10000, time=1.061814
Eseguito con cores=1, threads=58, width=10000, height=10000, time=1.046337
Eseguito con cores=1, threads=59, width=10000, height=10000, time=1.028656
Eseguito con cores=1, threads=60, width=10000, height=10000, time=1.011610
Eseguito con cores=1, threads=61, width=10000, height=10000, time=1.000465
Eseguito con cores=1, threads=62, width=10000, height=10000, time=0.982695
Eseguito con cores=1, threads=63, width=10000, height=10000, time=0.968662
Eseguito con cores=1, threads=64, width=10000, height=10000, time=0.964292
Eseguito con cores=1, threads=65, width=10000, height=10000, time=0.960756
Eseguito con cores=1, threads=66, width=10000, height=10000, time=0.960952
Eseguito con cores=1, threads=67, width=10000, height=10000, time=0.961196
Eseguito con cores=1, threads=68, width=10000, height=10000, time=0.960592
Eseguito con cores=1, threads=69, width=10000, height=10000, time=0.957764
Eseguito con cores=1, threads=70, width=10000, height=10000, time=0.956089
Eseguito con cores=1, threads=71, width=10000, height=10000, time=0.958616
Eseguito con cores=1, threads=72, width=10000, height=10000, time=0.958242
Eseguito con cores=1, threads=73, width=10000, height=10000, time=0.955333
Eseguito con cores=1, threads=74, width=10000, height=10000, time=0.959339
Eseguito con cores=1, threads=75, width=10000, height=10000, time=0.957150
Eseguito con cores=1, threads=76, width=10000, height=10000, time=0.957574
Eseguito con cores=1, threads=77, width=10000, height=10000, time=0.956529
Eseguito con cores=1, threads=78, width=10000, height=10000, time=0.956576
Eseguito con cores=1, threads=79, width=10000, height=10000, time=0.956313
Eseguito con cores=1, threads=80, width=10000, height=10000, time=0.955745
Eseguito con cores=1, threads=81, width=10000, height=10000, time=0.957559
Eseguito con cores=1, threads=82, width=10000, height=10000, time=0.959611
Eseguito con cores=1, threads=83, width=10000, height=10000, time=0.954660
Eseguito con cores=1, threads=84, width=10000, height=10000, time=0.955668
Eseguito con cores=1, threads=85, width=10000, height=10000, time=0.954229
Eseguito con cores=1, threads=86, width=10000, height=10000, time=0.956669
Eseguito con cores=1, threads=87, width=10000, height=10000, time=0.954754
Eseguito con cores=1, threads=88, width=10000, height=10000, time=0.955559
Eseguito con cores=1, threads=89, width=10000, height=10000, time=0.956019
Eseguito con cores=1, threads=90, width=10000, height=10000, time=0.953234
Eseguito con cores=1, threads=91, width=10000, height=10000, time=0.952636
Eseguito con cores=1, threads=92, width=10000, height=10000, time=0.953779
Eseguito con cores=1, threads=93, width=10000, height=10000, time=0.952873
Eseguito con cores=1, threads=94, width=10000, height=10000, time=0.952387
Eseguito con cores=1, threads=95, width=10000, height=10000, time=0.954513
Eseguito con cores=1, threads=96, width=10000, height=10000, time=0.953101
Eseguito con cores=1, threads=97, width=10000, height=10000, time=0.953249
Eseguito con cores=1, threads=98, width=10000, height=10000, time=0.951292
Eseguito con cores=1, threads=99, width=10000, height=10000, time=0.957180
Eseguito con cores=1, threads=100, width=10000, height=10000, time=0.948354
Eseguito con cores=1, threads=101, width=10000, height=10000, time=0.952647
Eseguito con cores=1, threads=102, width=10000, height=10000, time=0.954389
Eseguito con cores=1, threads=103, width=10000, height=10000, time=0.952042
Eseguito con cores=1, threads=104, width=10000, height=10000, time=0.951887
Eseguito con cores=1, threads=105, width=10000, height=10000, time=0.951227
Eseguito con cores=1, threads=106, width=10000, height=10000, time=0.952324
Eseguito con cores=1, threads=107, width=10000, height=10000, time=0.950217
Eseguito con cores=1, threads=108, width=10000, height=10000, time=0.949398
Eseguito con cores=1, threads=109, width=10000, height=10000, time=0.951715
Eseguito con cores=1, threads=110, width=10000, height=10000, time=0.948749
Eseguito con cores=1, threads=111, width=10000, height=10000, time=0.951964
Eseguito con cores=1, threads=112, width=10000, height=10000, time=0.949917
Eseguito con cores=1, threads=113, width=10000, height=10000, time=0.950045
Eseguito con cores=1, threads=114, width=10000, height=10000, time=0.951217
Eseguito con cores=1, threads=115, width=10000, height=10000, time=0.950014
Eseguito con cores=1, threads=116, width=10000, height=10000, time=0.950834
Eseguito con cores=1, threads=117, width=10000, height=10000, time=0.945887
Eseguito con cores=1, threads=118, width=10000, height=10000, time=0.950184
Eseguito con cores=1, threads=119, width=10000, height=10000, time=0.949380
Eseguito con cores=1, threads=120, width=10000, height=10000, time=0.950931
Eseguito con cores=1, threads=121, width=10000, height=10000, time=0.953449
Eseguito con cores=1, threads=122, width=10000, height=10000, time=0.950828
Eseguito con cores=1, threads=123, width=10000, height=10000, time=0.952949
Eseguito con cores=1, threads=124, width=10000, height=10000, time=0.951512
Eseguito con cores=1, threads=125, width=10000, height=10000, time=0.952260
Eseguito con cores=1, threads=126, width=10000, height=10000, time=0.950667
Eseguito con cores=1, threads=127, width=10000, height=10000, time=0.950640
Eseguito con cores=1, threads=128, width=10000, height=10000, time=0.954406
