mandelbrot.c: In function ‘main’:
mandelbrot.c:31:9: error: ‘width’ undeclared (first use in this function)
   31 |         width = atoi(argv[1]);
      |         ^~~~~
mandelbrot.c:31:9: note: each undeclared identifier is reported only once for each function it appears in
mandelbrot.c:32:9: error: ‘height’ undeclared (first use in this function)
   32 |         height = atoi(argv[2]);
      |         ^~~~~~
mandelbrot.c:33:9: error: ‘x_left’ undeclared (first use in this function)
   33 |         x_left = atof(argv[3]);
      |         ^~~~~~
mandelbrot.c:34:9: error: ‘y_lower’ undeclared (first use in this function)
   34 |         y_lower = atof(argv[4]);
      |         ^~~~~~~
mandelbrot.c:35:9: error: ‘x_right’ undeclared (first use in this function)
   35 |         x_right = atof(argv[5]);
      |         ^~~~~~~
mandelbrot.c:36:9: error: ‘y_upper’ undeclared (first use in this function)
   36 |         y_upper = atof(argv[6]);
      |         ^~~~~~~
mandelbrot.c:37:9: error: ‘max_iterations’ undeclared (first use in this function)
   37 |         max_iterations = atoi(argv[7]);
      |         ^~~~~~~~~~~~~~
mandelbrot.c:38:9: error: ‘num_threads’ undeclared (first use in this function)
   38 |         num_threads = atoi(argv[8]);
      |         ^~~~~~~~~~~
Eseguito con cores=1, threads=1, width=10000, height=10000, time=56.279287
Eseguito con cores=2, threads=1, width=10000, height=10000, time=28.092758
Eseguito con cores=3, threads=1, width=10000, height=10000, time=33.779809
Eseguito con cores=4, threads=1, width=10000, height=10000, time=22.627066
Eseguito con cores=5, threads=1, width=10000, height=10000, time=22.375882
Eseguito con cores=6, threads=1, width=10000, height=10000, time=17.030467
Eseguito con cores=7, threads=1, width=10000, height=10000, time=16.228314
Eseguito con cores=8, threads=1, width=10000, height=10000, time=13.591113
Eseguito con cores=9, threads=1, width=10000, height=10000, time=12.736164
Eseguito con cores=10, threads=1, width=10000, height=10000, time=11.129845
Eseguito con cores=11, threads=1, width=10000, height=10000, time=10.470066
Eseguito con cores=12, threads=1, width=10000, height=10000, time=9.406610
Eseguito con cores=13, threads=1, width=10000, height=10000, time=8.906141
Eseguito con cores=14, threads=1, width=10000, height=10000, time=8.104187
Eseguito con cores=15, threads=1, width=10000, height=10000, time=7.775621
Eseguito con cores=16, threads=1, width=10000, height=10000, time=7.123198
Eseguito con cores=17, threads=1, width=10000, height=10000, time=6.889610
Eseguito con cores=18, threads=1, width=10000, height=10000, time=6.384670
Eseguito con cores=19, threads=1, width=10000, height=10000, time=6.180315
Eseguito con cores=20, threads=1, width=10000, height=10000, time=5.748452
Eseguito con cores=21, threads=1, width=10000, height=10000, time=5.591662
Eseguito con cores=22, threads=1, width=10000, height=10000, time=5.267123
Eseguito con cores=23, threads=1, width=10000, height=10000, time=5.119934
Eseguito con cores=24, threads=1, width=10000, height=10000, time=4.840739
Eseguito con cores=25, threads=1, width=10000, height=10000, time=4.717104
Eseguito con cores=26, threads=1, width=10000, height=10000, time=4.497133
Eseguito con cores=27, threads=1, width=10000, height=10000, time=4.410021
Eseguito con cores=28, threads=1, width=10000, height=10000, time=4.182788
Eseguito con cores=29, threads=1, width=10000, height=10000, time=4.099330
Eseguito con cores=30, threads=1, width=10000, height=10000, time=3.917933
Eseguito con cores=31, threads=1, width=10000, height=10000, time=3.839716
Eseguito con cores=32, threads=1, width=10000, height=10000, time=3.696231
Eseguito con cores=33, threads=1, width=10000, height=10000, time=3.602339
Eseguito con cores=34, threads=1, width=10000, height=10000, time=3.477333
Eseguito con cores=35, threads=1, width=10000, height=10000, time=3.403949
Eseguito con cores=36, threads=1, width=10000, height=10000, time=3.289269
Eseguito con cores=37, threads=1, width=10000, height=10000, time=3.228347
Eseguito con cores=38, threads=1, width=10000, height=10000, time=3.128108
Eseguito con cores=39, threads=1, width=10000, height=10000, time=3.060055
Eseguito con cores=40, threads=1, width=10000, height=10000, time=2.974282
Eseguito con cores=41, threads=1, width=10000, height=10000, time=2.923064
Eseguito con cores=42, threads=1, width=10000, height=10000, time=2.838515
Eseguito con cores=43, threads=1, width=10000, height=10000, time=2.794229
Eseguito con cores=44, threads=1, width=10000, height=10000, time=2.714853
Eseguito con cores=45, threads=1, width=10000, height=10000, time=2.674025
Eseguito con cores=46, threads=1, width=10000, height=10000, time=2.599649
Eseguito con cores=47, threads=1, width=10000, height=10000, time=2.569002
Eseguito con cores=48, threads=1, width=10000, height=10000, time=2.493826
Eseguito con cores=49, threads=1, width=10000, height=10000, time=2.453944
Eseguito con cores=50, threads=1, width=10000, height=10000, time=2.401198
Eseguito con cores=51, threads=1, width=10000, height=10000, time=2.369664
Eseguito con cores=52, threads=1, width=10000, height=10000, time=2.306001
Eseguito con cores=53, threads=1, width=10000, height=10000, time=2.281318
Eseguito con cores=54, threads=1, width=10000, height=10000, time=2.230222
Eseguito con cores=55, threads=1, width=10000, height=10000, time=2.201652
Eseguito con cores=56, threads=1, width=10000, height=10000, time=2.156461
Eseguito con cores=57, threads=1, width=10000, height=10000, time=2.129788
Eseguito con cores=58, threads=1, width=10000, height=10000, time=2.073628
Eseguito con cores=59, threads=1, width=10000, height=10000, time=2.058504
Eseguito con cores=60, threads=1, width=10000, height=10000, time=2.016295
Eseguito con cores=61, threads=1, width=10000, height=10000, time=1.996025
Eseguito con cores=62, threads=1, width=10000, height=10000, time=1.947510
Eseguito con cores=63, threads=1, width=10000, height=10000, time=1.938308
Eseguito con cores=64, threads=1, width=10000, height=10000, time=1.889114
Eseguito con cores=65, threads=1, width=10000, height=10000, time=1.877184
Eseguito con cores=66, threads=1, width=10000, height=10000, time=1.845225
Eseguito con cores=67, threads=1, width=10000, height=10000, time=1.818994
Eseguito con cores=68, threads=1, width=10000, height=10000, time=1.782543
Eseguito con cores=69, threads=1, width=10000, height=10000, time=1.778192
Eseguito con cores=70, threads=1, width=10000, height=10000, time=1.742617
Eseguito con cores=71, threads=1, width=10000, height=10000, time=1.727656
Eseguito con cores=72, threads=1, width=10000, height=10000, time=1.689580
Eseguito con cores=73, threads=1, width=10000, height=10000, time=1.682829
Eseguito con cores=74, threads=1, width=10000, height=10000, time=1.646394
Eseguito con cores=75, threads=1, width=10000, height=10000, time=1.635151
Eseguito con cores=76, threads=1, width=10000, height=10000, time=1.613912
Eseguito con cores=77, threads=1, width=10000, height=10000, time=1.605701
Eseguito con cores=78, threads=1, width=10000, height=10000, time=1.568737
Eseguito con cores=79, threads=1, width=10000, height=10000, time=1.565864
Eseguito con cores=80, threads=1, width=10000, height=10000, time=1.531180
Eseguito con cores=81, threads=1, width=10000, height=10000, time=1.516561
Eseguito con cores=82, threads=1, width=10000, height=10000, time=1.492225
Eseguito con cores=83, threads=1, width=10000, height=10000, time=1.483815
Eseguito con cores=84, threads=1, width=10000, height=10000, time=1.459553
Eseguito con cores=85, threads=1, width=10000, height=10000, time=1.461715
Eseguito con cores=86, threads=1, width=10000, height=10000, time=1.428772
Eseguito con cores=87, threads=1, width=10000, height=10000, time=1.429500
Eseguito con cores=88, threads=1, width=10000, height=10000, time=1.406267
Eseguito con cores=89, threads=1, width=10000, height=10000, time=1.391760
Eseguito con cores=90, threads=1, width=10000, height=10000, time=1.372155
Eseguito con cores=91, threads=1, width=10000, height=10000, time=1.369475
Eseguito con cores=92, threads=1, width=10000, height=10000, time=1.351587
Eseguito con cores=93, threads=1, width=10000, height=10000, time=1.343482
Eseguito con cores=94, threads=1, width=10000, height=10000, time=1.320945
Eseguito con cores=95, threads=1, width=10000, height=10000, time=1.315836
Eseguito con cores=96, threads=1, width=10000, height=10000, time=1.299028
Eseguito con cores=97, threads=1, width=10000, height=10000, time=1.291353
Eseguito con cores=98, threads=1, width=10000, height=10000, time=1.270407
Eseguito con cores=99, threads=1, width=10000, height=10000, time=1.271632
Eseguito con cores=100, threads=1, width=10000, height=10000, time=1.252487
Eseguito con cores=101, threads=1, width=10000, height=10000, time=1.251540
Eseguito con cores=102, threads=1, width=10000, height=10000, time=1.228916
Eseguito con cores=103, threads=1, width=10000, height=10000, time=1.224641
Eseguito con cores=104, threads=1, width=10000, height=10000, time=1.207357
Eseguito con cores=105, threads=1, width=10000, height=10000, time=1.208834
Eseguito con cores=106, threads=1, width=10000, height=10000, time=1.193719
Eseguito con cores=107, threads=1, width=10000, height=10000, time=1.183625
Eseguito con cores=108, threads=1, width=10000, height=10000, time=1.185150
Eseguito con cores=109, threads=1, width=10000, height=10000, time=1.176769
Eseguito con cores=110, threads=1, width=10000, height=10000, time=1.163429
Eseguito con cores=111, threads=1, width=10000, height=10000, time=1.159525
Eseguito con cores=112, threads=1, width=10000, height=10000, time=1.148945
Eseguito con cores=113, threads=1, width=10000, height=10000, time=1.130600
Eseguito con cores=114, threads=1, width=10000, height=10000, time=1.132261
Eseguito con cores=115, threads=1, width=10000, height=10000, time=1.125696
Eseguito con cores=116, threads=1, width=10000, height=10000, time=1.112107
