cores,threads,width,height,time
1,1,10000,10000,56.650474
2,1,10000,10000,28.236663
3,1,10000,10000,33.728648
4,1,10000,10000,22.580120
5,1,10000,10000,22.176679
6,1,10000,10000,16.874262
7,1,10000,10000,16.151194
8,1,10000,10000,13.583676
9,1,10000,10000,12.692763
10,1,10000,10000,11.098067
11,1,10000,10000,10.459196
12,1,10000,10000,9.379292
13,1,10000,10000,8.898062
14,1,10000,10000,8.093608
15,1,10000,10000,7.764272
16,1,10000,10000,7.120003
17,1,10000,10000,6.882211
18,1,10000,10000,6.359131
19,1,10000,10000,6.162782
20,1,10000,10000,5.742174
21,1,10000,10000,5.603164
22,1,10000,10000,5.262566
23,1,10000,10000,5.127354
24,1,10000,10000,4.827865
25,1,10000,10000,4.726446
26,1,10000,10000,4.499565
27,1,10000,10000,4.378145
28,1,10000,10000,4.179770
29,1,10000,10000,4.104419
30,1,10000,10000,3.916674
31,1,10000,10000,3.837791
32,1,10000,10000,3.691355
33,1,10000,10000,3.595351
34,1,10000,10000,3.472901
35,1,10000,10000,3.399573
36,1,10000,10000,3.295285
37,1,10000,10000,3.228751
38,1,10000,10000,3.118892
39,1,10000,10000,3.058643
40,1,10000,10000,2.973706
41,1,10000,10000,2.924851
42,1,10000,10000,2.833679
43,1,10000,10000,2.791738
44,1,10000,10000,2.713930
45,1,10000,10000,2.667394
46,1,10000,10000,2.601843
47,1,10000,10000,2.571236
48,1,10000,10000,2.489981
49,1,10000,10000,2.451569
50,1,10000,10000,2.398424
51,1,10000,10000,2.363017
52,1,10000,10000,2.304409
53,1,10000,10000,2.286820
54,1,10000,10000,2.225588
55,1,10000,10000,2.204776
56,1,10000,10000,2.159835
57,1,10000,10000,2.122037
58,1,10000,10000,2.078205
59,1,10000,10000,2.056257
60,1,10000,10000,2.014372
61,1,10000,10000,1.991353
62,1,10000,10000,1.951544
63,1,10000,10000,1.940434
64,1,10000,10000,1.892614
65,1,10000,10000,1.874640
66,1,10000,10000,1.845513
67,1,10000,10000,1.822480
68,1,10000,10000,1.779139
69,1,10000,10000,1.772414
70,1,10000,10000,1.742125
71,1,10000,10000,1.728410
72,1,10000,10000,1.688141
73,1,10000,10000,1.683995
74,1,10000,10000,1.647321
75,1,10000,10000,1.634571
76,1,10000,10000,1.619705
77,1,10000,10000,1.598614
78,1,10000,10000,1.568771
79,1,10000,10000,1.567472
80,1,10000,10000,1.529702
81,1,10000,10000,1.518964
82,1,10000,10000,1.496196
83,1,10000,10000,1.478886
84,1,10000,10000,1.461508
85,1,10000,10000,1.462539
86,1,10000,10000,1.428611
87,1,10000,10000,1.427287
88,1,10000,10000,1.404676
89,1,10000,10000,1.395071
90,1,10000,10000,1.372898
91,1,10000,10000,1.370288
92,1,10000,10000,1.352930
93,1,10000,10000,1.360881
94,1,10000,10000,1.323473
95,1,10000,10000,1.316302
96,1,10000,10000,1.301202
97,1,10000,10000,1.292638
98,1,10000,10000,1.272690
99,1,10000,10000,1.276616
100,1,10000,10000,1.252491
101,1,10000,10000,1.255217
102,1,10000,10000,1.232044
103,1,10000,10000,1.228119
104,1,10000,10000,1.211035
105,1,10000,10000,1.212303
106,1,10000,10000,1.196987
107,1,10000,10000,1.184357
108,1,10000,10000,1.192602
109,1,10000,10000,1.179629
110,1,10000,10000,1.209857
111,1,10000,10000,1.161001
112,1,10000,10000,1.156270
113,1,10000,10000,1.136015
114,1,10000,10000,1.136922
115,1,10000,10000,1.133535
116,1,10000,10000,1.121208
117,1,10000,10000,1.106666
118,1,10000,10000,1.101965
119,1,10000,10000,1.097278
120,1,10000,10000,1.083287
121,1,10000,10000,1.093974
122,1,10000,10000,1.076714
123,1,10000,10000,1.072909
124,1,10000,10000,1.072226
125,1,10000,10000,1.059354
126,1,10000,10000,1.057308
