cores,threads,width,height,time
1,1,1000.00,1000.00,0.563696
2,1,1414.21,1414.21,0.568741
3,1,1732.05,1732.05,1.022524
4,1,2000.00,2000.00,0.918104
5,1,2236.06,2236.06,1.115107
6,1,2449.48,2449.48,1.015462
7,1,2645.75,2645.75,1.131298
8,1,2828.42,2828.42,1.086254
9,1,3000.00,3000.00,1.143291
10,1,3162.27,3162.27,1.114840
11,1,3316.62,3316.62,1.155729
12,1,3464.10,3464.10,1.130584
13,1,3605.55,3605.55,1.159851
14,1,3741.65,3741.65,1.131432
15,1,3872.98,3872.98,1.160998
16,1,4000.00,4000.00,1.137312
17,1,4123.10,4123.10,1.168533
18,1,4242.64,4242.64,1.144675
19,1,4358.89,4358.89,1.168377
20,1,4472.13,4472.13,1.150181
21,1,4582.57,4582.57,1.172210
22,1,4690.41,4690.41,1.151865
23,1,4795.83,4795.83,1.170817
24,1,4898.97,4898.97,1.155420
25,1,5000.00,5000.00,1.176631
26,1,5099.01,5099.01,1.158004
27,1,5196.15,5196.15,1.176356
28,1,5291.50,5291.50,1.164083
29,1,5385.16,5385.16,1.181241
30,1,5477.22,5477.22,1.172669
31,1,5567.76,5567.76,1.182264
32,1,5656.85,5656.85,1.175496
33,1,5744.56,5744.56,1.183044
34,1,5830.95,5830.95,1.175025
35,1,5916.07,5916.07,1.186060
36,1,6000.00,6000.00,1.183052
37,1,6082.76,6082.76,1.185861
38,1,6164.41,6164.41,1.179837
39,1,6244.99,6244.99,1.187193
40,1,6324.55,6324.55,1.181309
41,1,6403.12,6403.12,1.188355
42,1,6480.74,6480.74,1.184078
43,1,6557.43,6557.43,1.186215
44,1,6633.24,6633.24,1.185344
45,1,6708.20,6708.20,1.193080
46,1,6782.32,6782.32,1.185429
47,1,6855.65,6855.65,1.193977
48,1,6928.20,6928.20,1.189624
49,1,7000.00,7000.00,1.200785
50,1,7071.06,7071.06,1.190656
51,1,7141.42,7141.42,1.202023
52,1,7211.10,7211.10,1.204436
53,1,7280.10,7280.10,1.208688
54,1,7348.46,7348.46,1.204787
55,1,7416.19,7416.19,1.220050
56,1,7483.31,7483.31,1.214782
57,1,7549.83,7549.83,1.220019
58,1,7615.77,7615.77,1.217812
59,1,7681.14,7681.14,1.230683
60,1,7745.96,7745.96,1.226157
61,1,7810.24,7810.24,1.246343
62,1,7874.00,7874.00,1.239317
63,1,7937.25,7937.25,1.254240
