cores,threads,width,height,time
1,1,10000,10000,55.597049
1,2,10000,10000,27.819403
1,3,10000,10000,18.570618
1,4,10000,10000,13.970742
1,5,10000,10000,11.186051
1,6,10000,10000,9.350550
1,7,10000,10000,8.021152
1,8,10000,10000,7.093661
1,9,10000,10000,6.254078
1,10,10000,10000,5.638982
1,11,10000,10000,5.137137
1,12,10000,10000,4.711257
1,13,10000,10000,4.349474
1,14,10000,10000,4.053121
1,15,10000,10000,3.790883
1,16,10000,10000,3.555459
1,17,10000,10000,3.357678
1,18,10000,10000,3.176960
1,19,10000,10000,2.999308
1,20,10000,10000,2.862036
1,21,10000,10000,2.730664
1,22,10000,10000,2.611336
1,23,10000,10000,2.502858
1,24,10000,10000,2.400155
1,25,10000,10000,2.313675
1,26,10000,10000,2.228647
1,27,10000,10000,2.158053
1,28,10000,10000,2.088349
1,29,10000,10000,2.029692
1,30,10000,10000,1.937667
1,31,10000,10000,1.876241
1,32,10000,10000,1.813388
1,33,10000,10000,1.758496
1,34,10000,10000,1.712492
1,35,10000,10000,1.662514
1,36,10000,10000,1.618764
1,37,10000,10000,1.576529
1,38,10000,10000,1.536408
1,39,10000,10000,1.501452
1,40,10000,10000,1.466460
1,41,10000,10000,1.433029
1,42,10000,10000,1.399548
1,43,10000,10000,1.368367
1,44,10000,10000,1.340705
1,45,10000,10000,1.312259
1,46,10000,10000,1.282972
1,47,10000,10000,1.261689
1,48,10000,10000,1.233442
1,49,10000,10000,1.212021
1,50,10000,10000,1.190469
1,51,10000,10000,1.168193
1,52,10000,10000,1.147597
1,53,10000,10000,1.126630
1,54,10000,10000,1.109283
1,55,10000,10000,1.086569
1,56,10000,10000,1.072727
1,57,10000,10000,1.053320
1,58,10000,10000,1.039305
1,59,10000,10000,1.021049
1,60,10000,10000,1.006027
1,61,10000,10000,0.988684
1,62,10000,10000,0.977861
1,63,10000,10000,0.964426
1,64,10000,10000,0.950397
1,65,10000,10000,0.950730
1,66,10000,10000,0.948041
1,67,10000,10000,0.950279
1,68,10000,10000,0.950076
1,69,10000,10000,0.951371
1,70,10000,10000,0.952018
1,71,10000,10000,0.950596
1,72,10000,10000,0.948283
1,73,10000,10000,0.950731
1,74,10000,10000,0.948596
1,75,10000,10000,0.948642
1,76,10000,10000,0.950091
1,77,10000,10000,0.947634
1,78,10000,10000,0.947040
1,79,10000,10000,0.947024
1,80,10000,10000,0.946898
1,81,10000,10000,0.946513
1,82,10000,10000,0.946172
1,83,10000,10000,0.944830
1,84,10000,10000,0.947025
1,85,10000,10000,0.945877
1,86,10000,10000,0.946158
1,87,10000,10000,0.949158
1,88,10000,10000,0.946105
1,89,10000,10000,0.945856
1,90,10000,10000,0.944610
1,91,10000,10000,0.942312
1,92,10000,10000,0.943872
1,93,10000,10000,0.944355
1,94,10000,10000,0.943911
1,95,10000,10000,0.944503
1,96,10000,10000,0.944024
1,97,10000,10000,0.944147
1,98,10000,10000,0.942304
1,99,10000,10000,0.942734
1,100,10000,10000,0.942089
1,101,10000,10000,0.941395
1,102,10000,10000,0.942469
1,103,10000,10000,0.941126
1,104,10000,10000,0.942235
1,105,10000,10000,0.942239
1,106,10000,10000,0.942574
1,107,10000,10000,0.942173
1,108,10000,10000,0.941348
1,109,10000,10000,0.941620
1,110,10000,10000,0.939791
1,111,10000,10000,0.941236
1,112,10000,10000,0.940529
1,113,10000,10000,0.940334
1,114,10000,10000,0.940852
1,115,10000,10000,0.938219
1,116,10000,10000,0.939254
1,117,10000,10000,0.939286
1,118,10000,10000,0.939200
1,119,10000,10000,0.940834
1,120,10000,10000,0.939453
1,121,10000,10000,0.938797
1,122,10000,10000,0.939247
1,123,10000,10000,0.940068
1,124,10000,10000,0.937961
1,125,10000,10000,0.938873
1,126,10000,10000,0.938317
1,127,10000,10000,0.937411
1,128,10000,10000,0.941074
