cores,threads,width,height,time
1,1,10000,10000,56.652173
1,2,10000,10000,27.998727
1,3,10000,10000,19.076506
1,4,10000,10000,13.978167
1,5,10000,10000,11.178190
1,6,10000,10000,9.329455
1,7,10000,10000,8.037511
1,8,10000,10000,7.413887
1,9,10000,10000,6.470816
1,10,10000,10000,5.712269
1,11,10000,10000,5.136231
1,12,10000,10000,4.739407
1,13,10000,10000,4.424330
1,14,10000,10000,4.169532
1,15,10000,10000,3.897306
1,16,10000,10000,3.538022
1,17,10000,10000,3.366053
1,18,10000,10000,3.244942
1,19,10000,10000,3.091316
1,20,10000,10000,2.849987
1,21,10000,10000,2.751086
1,22,10000,10000,3.105799
1,23,10000,10000,2.605544
1,24,10000,10000,2.446500
1,25,10000,10000,2.283004
1,26,10000,10000,2.252547
1,27,10000,10000,2.360418
1,28,10000,10000,2.540229
1,29,10000,10000,2.284275
1,30,10000,10000,1.911184
1,31,10000,10000,1.912834
1,32,10000,10000,2.041872
1,33,10000,10000,1.892271
1,34,10000,10000,1.695233
1,35,10000,10000,1.703735
1,36,10000,10000,1.665068
1,37,10000,10000,1.617316
1,38,10000,10000,1.912636
1,39,10000,10000,1.526503
1,40,10000,10000,1.774723
1,41,10000,10000,1.425448
1,42,10000,10000,1.380047
1,43,10000,10000,1.695468
1,44,10000,10000,1.342046
1,45,10000,10000,1.347746
1,46,10000,10000,1.630960
1,47,10000,10000,1.394536
1,48,10000,10000,1.340340
1,49,10000,10000,1.194788
1,50,10000,10000,1.542410
1,51,10000,10000,1.318240
1,52,10000,10000,1.218113
1,53,10000,10000,1.125870
1,54,10000,10000,1.176072
1,55,10000,10000,1.574727
1,56,10000,10000,1.068967
1,57,10000,10000,1.152567
1,58,10000,10000,1.040381
1,59,10000,10000,1.045507
1,60,10000,10000,1.026666
1,61,10000,10000,0.973332
1,62,10000,10000,1.042671
1,63,10000,10000,1.036951
1,64,10000,10000,0.950347
1,65,10000,10000,0.958141
1,66,10000,10000,0.952262
1,67,10000,10000,0.938718
1,68,10000,10000,0.952693
1,69,10000,10000,0.873253
1,70,10000,10000,1.131028
1,71,10000,10000,0.980277
1,72,10000,10000,1.111995
1,73,10000,10000,1.021218
1,74,10000,10000,1.053445
1,75,10000,10000,0.890842
1,76,10000,10000,1.030021
1,77,10000,10000,0.911581
1,78,10000,10000,1.089043
1,79,10000,10000,0.921091
1,80,10000,10000,1.025897
1,81,10000,10000,0.977309
1,82,10000,10000,1.000010
1,83,10000,10000,1.199080
1,84,10000,10000,0.843105
1,85,10000,10000,0.913819
1,86,10000,10000,1.070301
1,87,10000,10000,1.081108
1,88,10000,10000,0.897367
1,89,10000,10000,1.206408
1,90,10000,10000,0.916714
1,91,10000,10000,1.088033
1,92,10000,10000,1.007206
1,93,10000,10000,1.018179
1,94,10000,10000,1.060238
1,95,10000,10000,0.939211
1,96,10000,10000,1.159788
1,97,10000,10000,0.983827
1,98,10000,10000,1.064197
1,99,10000,10000,1.213946
1,100,10000,10000,0.773818
1,101,10000,10000,1.096772
1,102,10000,10000,1.016348
1,103,10000,10000,0.971486
1,104,10000,10000,0.970704
1,105,10000,10000,0.597616
1,106,10000,10000,0.617817
1,107,10000,10000,0.717670
1,108,10000,10000,0.658086
1,109,10000,10000,0.585738
1,110,10000,10000,0.689993
1,111,10000,10000,0.713552
1,112,10000,10000,0.614173
1,113,10000,10000,1.073496
1,114,10000,10000,0.623099
1,115,10000,10000,0.641218
1,116,10000,10000,0.541890
1,117,10000,10000,0.920833
1,118,10000,10000,0.580572
1,119,10000,10000,0.580595
1,120,10000,10000,0.547182
1,121,10000,10000,0.561943
1,122,10000,10000,0.568801
1,123,10000,10000,0.548042
1,124,10000,10000,0.593001
1,125,10000,10000,0.614168
1,126,10000,10000,0.519887
1,127,10000,10000,0.513100
1,128,10000,10000,0.645915
