cores,threads,width,height,time
1,1,1000.00,1000.00,0.271733
1,2,1414.21,1414.21,0.270755
1,3,1732.05,1732.05,0.270270
1,4,2000.00,2000.00,0.269986
1,5,2236.06,2236.06,0.271044
1,6,2449.48,2449.48,0.273494
1,7,2645.75,2645.75,0.273274
1,8,2828.42,2828.42,0.269248
1,9,3000.00,3000.00,0.272956
1,10,3162.27,3162.27,0.272471
1,11,3316.62,3316.62,0.272614
1,12,3464.10,3464.10,0.269928
1,13,3605.55,3605.55,0.274300
1,14,3741.65,3741.65,0.272653
1,15,3872.98,3872.98,0.273207
1,16,4000.00,4000.00,0.271673
1,17,4123.10,4123.10,0.270713
1,18,4242.64,4242.64,0.271909
1,19,4358.89,4358.89,0.272291
1,20,4472.13,4472.13,0.274530
1,21,4582.57,4582.57,0.272295
1,22,4690.41,4690.41,0.272859
1,23,4795.83,4795.83,0.274167
1,24,4898.97,4898.97,0.273889
1,25,5000.00,5000.00,0.274424
1,26,5099.01,5099.01,0.272893
1,27,5196.15,5196.15,0.275410
1,28,5291.50,5291.50,0.272381
1,29,5385.16,5385.16,0.271406
1,30,5477.22,5477.22,0.272534
1,31,5567.76,5567.76,0.272992
1,32,5656.85,5656.85,0.272016
1,33,5744.56,5744.56,0.271975
1,34,5830.95,5830.95,0.273195
1,35,5916.07,5916.07,0.272829
1,36,6000.00,6000.00,0.272848
1,37,6082.76,6082.76,0.271621
1,38,6164.41,6164.41,0.274764
1,39,6244.99,6244.99,0.273349
1,40,6324.55,6324.55,0.274869
1,41,6403.12,6403.12,0.274621
1,42,6480.74,6480.74,0.276184
1,43,6557.43,6557.43,0.275354
1,44,6633.24,6633.24,0.273872
1,45,6708.20,6708.20,0.274622
1,46,6782.32,6782.32,0.275691
1,47,6855.65,6855.65,0.273909
1,48,6928.20,6928.20,0.273988
1,49,7000.00,7000.00,0.273666
1,50,7071.06,7071.06,0.274085
1,51,7141.42,7141.42,0.274282
1,52,7211.10,7211.10,0.274533
1,53,7280.10,7280.10,0.273694
1,54,7348.46,7348.46,0.273562
1,55,7416.19,7416.19,0.273760
1,56,7483.31,7483.31,0.274960
1,57,7549.83,7549.83,0.273656
1,58,7615.77,7615.77,0.274457
1,59,7681.14,7681.14,0.274618
1,60,7745.96,7745.96,0.274043
1,61,7810.24,7810.24,0.276348
1,62,7874.00,7874.00,0.273753
1,63,7937.25,7937.25,0.275222
1,64,8000.00,8000.00,0.275857
1,65,8062.25,8062.25,0.274891
1,66,8124.03,8124.03,0.276300
1,67,8185.35,8185.35,0.274288
1,68,8246.21,8246.21,0.274911
1,69,8306.62,8306.62,0.276047
1,70,8366.60,8366.60,0.275099
1,71,8426.14,8426.14,0.276255
1,72,8485.28,8485.28,0.275916
1,73,8544.00,8544.00,0.276244
1,74,8602.32,8602.32,0.274965
1,75,8660.25,8660.25,0.276165
1,76,8717.79,8717.79,0.275245
1,77,8774.96,8774.96,0.275592
1,78,8831.76,8831.76,0.275399
1,79,8888.19,8888.19,0.276562
1,80,8944.27,8944.27,0.275736
1,81,9000.00,9000.00,0.275361
1,82,9055.38,9055.38,0.276578
1,83,9110.43,9110.43,0.276234
1,84,9165.15,9165.15,0.276002
1,85,9219.54,9219.54,0.273070
1,86,9273.61,9273.61,0.274000
1,87,9327.37,9327.37,0.275627
1,88,9380.83,9380.83,0.274990
1,89,9433.98,9433.98,0.274436
1,90,9486.83,9486.83,0.273628
1,91,9539.39,9539.39,0.273768
1,92,9591.66,9591.66,0.274952
1,93,9643.65,9643.65,0.276044
1,94,9695.35,9695.35,0.275416
1,95,9746.79,9746.79,0.276906
1,96,9797.95,9797.95,0.277759
1,97,9848.85,9848.85,0.276700
1,98,9899.49,9899.49,0.276626
1,99,9949.87,9949.87,0.275441
1,100,10000.00,10000.00,0.273729
1,101,10049.87,10049.87,0.275739
1,102,10099.50,10099.50,0.277413
1,103,10148.89,10148.89,0.275102
1,104,10198.03,10198.03,0.276099
1,105,10246.95,10246.95,0.275534
1,106,10295.63,10295.63,0.273935
1,107,10344.08,10344.08,0.275623
1,108,10392.30,10392.30,0.274677
1,109,10440.30,10440.30,0.278811
1,110,10488.08,10488.08,0.275260
1,111,10535.65,10535.65,0.276056
1,112,10583.00,10583.00,0.275654
1,113,10630.14,10630.14,0.275196
1,114,10677.07,10677.07,0.280320
1,115,10723.80,10723.80,0.275971
1,116,10770.32,10770.32,0.276031
1,117,10816.65,10816.65,0.275087
1,118,10862.78,10862.78,0.277383
1,119,10908.71,10908.71,0.276433
1,120,10954.45,10954.45,0.274799
1,121,11000.00,11000.00,0.275641
1,122,11045.36,11045.36,0.276018
1,123,11090.53,11090.53,0.276771
1,124,11135.52,11135.52,0.273867
1,125,11180.33,11180.33,0.276321
1,126,11224.97,11224.97,0.276268
1,127,11269.42,11269.42,0.274949
1,128,11313.70,11313.70,0.276295
