Eseguito con cores=1, threads=1, width=1000.00, height=1000.00, time=0.568314
Eseguito con cores=2, threads=1, width=1414.21, height=1414.21, time=0.569553
Eseguito con cores=3, threads=1, width=1732.05, height=1732.05, time=1.021163
Eseguito con cores=4, threads=1, width=2000.00, height=2000.00, time=0.913057
Eseguito con cores=5, threads=1, width=2236.06, height=2236.06, time=1.119895
Eseguito con cores=6, threads=1, width=2449.48, height=2449.48, time=1.023966
Eseguito con cores=7, threads=1, width=2645.75, height=2645.75, time=1.133489
Eseguito con cores=8, threads=1, width=2828.42, height=2828.42, time=1.091383
Eseguito con cores=9, threads=1, width=3000.00, height=3000.00, time=1.137349
Eseguito con cores=10, threads=1, width=3162.27, height=3162.27, time=1.110594
Eseguito con cores=11, threads=1, width=3316.62, height=3316.62, time=1.152108
Eseguito con cores=12, threads=1, width=3464.10, height=3464.10, time=1.129905
Eseguito con cores=13, threads=1, width=3605.55, height=3605.55, time=1.159700
Eseguito con cores=14, threads=1, width=3741.65, height=3741.65, time=1.133564
Eseguito con cores=15, threads=1, width=3872.98, height=3872.98, time=1.168077
Eseguito con cores=16, threads=1, width=4000.00, height=4000.00, time=1.143240
Eseguito con cores=17, threads=1, width=4123.10, height=4123.10, time=1.172298
Eseguito con cores=18, threads=1, width=4242.64, height=4242.64, time=1.148731
Eseguito con cores=19, threads=1, width=4358.89, height=4358.89, time=1.172032
Eseguito con cores=20, threads=1, width=4472.13, height=4472.13, time=1.155220
Eseguito con cores=21, threads=1, width=4582.57, height=4582.57, time=1.176771
Eseguito con cores=22, threads=1, width=4690.41, height=4690.41, time=1.156407
Eseguito con cores=23, threads=1, width=4795.83, height=4795.83, time=1.176365
Eseguito con cores=24, threads=1, width=4898.97, height=4898.97, time=1.159755
Eseguito con cores=25, threads=1, width=5000.00, height=5000.00, time=1.183345
Eseguito con cores=26, threads=1, width=5099.01, height=5099.01, time=1.165079
Eseguito con cores=27, threads=1, width=5196.15, height=5196.15, time=1.182093
Eseguito con cores=28, threads=1, width=5291.50, height=5291.50, time=1.171018
Eseguito con cores=29, threads=1, width=5385.16, height=5385.16, time=1.185801
Eseguito con cores=30, threads=1, width=5477.22, height=5477.22, time=1.178269
Eseguito con cores=31, threads=1, width=5567.76, height=5567.76, time=1.189153
Eseguito con cores=32, threads=1, width=5656.85, height=5656.85, time=1.181528
Eseguito con cores=33, threads=1, width=5744.56, height=5744.56, time=1.191391
Eseguito con cores=34, threads=1, width=5830.95, height=5830.95, time=1.182932
Eseguito con cores=35, threads=1, width=5916.07, height=5916.07, time=1.192421
Eseguito con cores=36, threads=1, width=6000.00, height=6000.00, time=1.191194
Eseguito con cores=37, threads=1, width=6082.76, height=6082.76, time=1.191852
Eseguito con cores=38, threads=1, width=6164.41, height=6164.41, time=1.187455
Eseguito con cores=39, threads=1, width=6244.99, height=6244.99, time=1.197204
Eseguito con cores=40, threads=1, width=6324.55, height=6324.55, time=1.190515
Eseguito con cores=41, threads=1, width=6403.12, height=6403.12, time=1.197216
Eseguito con cores=42, threads=1, width=6480.74, height=6480.74, time=1.193861
Eseguito con cores=43, threads=1, width=6557.43, height=6557.43, time=1.194857
Eseguito con cores=44, threads=1, width=6633.24, height=6633.24, time=1.193471
Eseguito con cores=45, threads=1, width=6708.20, height=6708.20, time=1.201167
Eseguito con cores=46, threads=1, width=6782.32, height=6782.32, time=1.202626
Eseguito con cores=47, threads=1, width=6855.65, height=6855.65, time=1.204028
Eseguito con cores=48, threads=1, width=6928.20, height=6928.20, time=1.219450
Eseguito con cores=49, threads=1, width=7000.00, height=7000.00, time=1.211300
Eseguito con cores=50, threads=1, width=7071.06, height=7071.06, time=1.201762
Eseguito con cores=51, threads=1, width=7141.42, height=7141.42, time=1.213152
Eseguito con cores=52, threads=1, width=7211.10, height=7211.10, time=1.212379
Eseguito con cores=53, threads=1, width=7280.10, height=7280.10, time=1.221288
Eseguito con cores=54, threads=1, width=7348.46, height=7348.46, time=1.216920
Eseguito con cores=55, threads=1, width=7416.19, height=7416.19, time=1.231852
Eseguito con cores=56, threads=1, width=7483.31, height=7483.31, time=1.231045
Eseguito con cores=57, threads=1, width=7549.83, height=7549.83, time=1.233450
Eseguito con cores=58, threads=1, width=7615.77, height=7615.77, time=1.233127
Eseguito con cores=59, threads=1, width=7681.14, height=7681.14, time=1.246954
Eseguito con cores=60, threads=1, width=7745.96, height=7745.96, time=1.239441
Eseguito con cores=61, threads=1, width=7810.24, height=7810.24, time=1.258008
Eseguito con cores=62, threads=1, width=7874.00, height=7874.00, time=1.255206
Eseguito con cores=63, threads=1, width=7937.25, height=7937.25, time=1.266653
Eseguito con cores=64, threads=1, width=8000.00, height=8000.00, time=1.262840
Eseguito con cores=65, threads=1, width=8062.25, height=8062.25, time=1.274681
Eseguito con cores=66, threads=1, width=8124.03, height=8124.03, time=1.263483
Eseguito con cores=67, threads=1, width=8185.35, height=8185.35, time=1.270076
Eseguito con cores=68, threads=1, width=8246.21, height=8246.21, time=1.265374
Eseguito con cores=69, threads=1, width=8306.62, height=8306.62, time=1.271879
Eseguito con cores=70, threads=1, width=8366.60, height=8366.60, time=1.275836
Eseguito con cores=71, threads=1, width=8426.14, height=8426.14, time=1.280197
Eseguito con cores=72, threads=1, width=8485.28, height=8485.28, time=1.267207
Eseguito con cores=73, threads=1, width=8544.00, height=8544.00, time=1.278568
Eseguito con cores=74, threads=1, width=8602.32, height=8602.32, time=1.266206
Eseguito con cores=75, threads=1, width=8660.25, height=8660.25, time=1.272185
Eseguito con cores=76, threads=1, width=8717.79, height=8717.79, time=1.272154
Eseguito con cores=77, threads=1, width=8774.96, height=8774.96, time=1.281191
Eseguito con cores=78, threads=1, width=8831.76, height=8831.76, time=1.264769
Eseguito con cores=79, threads=1, width=8888.19, height=8888.19, time=1.284027
Eseguito con cores=80, threads=1, width=8944.27, height=8944.27, time=1.274981
Eseguito con cores=81, threads=1, width=9000.00, height=9000.00, time=1.282259
Eseguito con cores=82, threads=1, width=9055.38, height=9055.38, time=1.267090
Eseguito con cores=83, threads=1, width=9110.43, height=9110.43, time=1.285477
Eseguito con cores=84, threads=1, width=9165.15, height=9165.15, time=1.268173
Eseguito con cores=85, threads=1, width=9219.54, height=9219.54, time=1.272770
Eseguito con cores=86, threads=1, width=9273.61, height=9273.61, time=1.276104
Eseguito con cores=87, threads=1, width=9327.37, height=9327.37, time=1.280120
Eseguito con cores=88, threads=1, width=9380.83, height=9380.83, time=1.285047
Eseguito con cores=89, threads=1, width=9433.98, height=9433.98, time=1.285160
Eseguito con cores=90, threads=1, width=9486.83, height=9486.83, time=1.278314
Eseguito con cores=91, threads=1, width=9539.39, height=9539.39, time=1.288384
Eseguito con cores=92, threads=1, width=9591.66, height=9591.66, time=1.274940
Eseguito con cores=93, threads=1, width=9643.65, height=9643.65, time=1.291437
Eseguito con cores=94, threads=1, width=9695.35, height=9695.35, time=1.276955
Eseguito con cores=95, threads=1, width=9746.79, height=9746.79, time=1.297609
Eseguito con cores=96, threads=1, width=9797.95, height=9797.95, time=1.278676
Eseguito con cores=97, threads=1, width=9848.85, height=9848.85, time=1.298305
Eseguito con cores=98, threads=1, width=9899.49, height=9899.49, time=1.281862
Eseguito con cores=99, threads=1, width=9949.87, height=9949.87, time=1.281663
Eseguito con cores=100, threads=1, width=10000.00, height=10000.00, time=1.290520
Eseguito con cores=101, threads=1, width=10049.87, height=10049.87, time=1.286729
Eseguito con cores=102, threads=1, width=10099.50, height=10099.50, time=1.285341
