Eseguito con cores=1, threads=1, width=10000, height=10000, time=56.650474
Eseguito con cores=2, threads=1, width=10000, height=10000, time=28.236663
Eseguito con cores=3, threads=1, width=10000, height=10000, time=33.728648
Eseguito con cores=4, threads=1, width=10000, height=10000, time=22.580120
Eseguito con cores=5, threads=1, width=10000, height=10000, time=22.176679
Eseguito con cores=6, threads=1, width=10000, height=10000, time=16.874262
Eseguito con cores=7, threads=1, width=10000, height=10000, time=16.151194
Eseguito con cores=8, threads=1, width=10000, height=10000, time=13.583676
Eseguito con cores=9, threads=1, width=10000, height=10000, time=12.692763
Eseguito con cores=10, threads=1, width=10000, height=10000, time=11.098067
Eseguito con cores=11, threads=1, width=10000, height=10000, time=10.459196
Eseguito con cores=12, threads=1, width=10000, height=10000, time=9.379292
Eseguito con cores=13, threads=1, width=10000, height=10000, time=8.898062
Eseguito con cores=14, threads=1, width=10000, height=10000, time=8.093608
Eseguito con cores=15, threads=1, width=10000, height=10000, time=7.764272
Eseguito con cores=16, threads=1, width=10000, height=10000, time=7.120003
Eseguito con cores=17, threads=1, width=10000, height=10000, time=6.882211
Eseguito con cores=18, threads=1, width=10000, height=10000, time=6.359131
Eseguito con cores=19, threads=1, width=10000, height=10000, time=6.162782
Eseguito con cores=20, threads=1, width=10000, height=10000, time=5.742174
Eseguito con cores=21, threads=1, width=10000, height=10000, time=5.603164
Eseguito con cores=22, threads=1, width=10000, height=10000, time=5.262566
Eseguito con cores=23, threads=1, width=10000, height=10000, time=5.127354
Eseguito con cores=24, threads=1, width=10000, height=10000, time=4.827865
Eseguito con cores=25, threads=1, width=10000, height=10000, time=4.726446
Eseguito con cores=26, threads=1, width=10000, height=10000, time=4.499565
Eseguito con cores=27, threads=1, width=10000, height=10000, time=4.378145
Eseguito con cores=28, threads=1, width=10000, height=10000, time=4.179770
Eseguito con cores=29, threads=1, width=10000, height=10000, time=4.104419
Eseguito con cores=30, threads=1, width=10000, height=10000, time=3.916674
Eseguito con cores=31, threads=1, width=10000, height=10000, time=3.837791
Eseguito con cores=32, threads=1, width=10000, height=10000, time=3.691355
Eseguito con cores=33, threads=1, width=10000, height=10000, time=3.595351
Eseguito con cores=34, threads=1, width=10000, height=10000, time=3.472901
Eseguito con cores=35, threads=1, width=10000, height=10000, time=3.399573
Eseguito con cores=36, threads=1, width=10000, height=10000, time=3.295285
Eseguito con cores=37, threads=1, width=10000, height=10000, time=3.228751
Eseguito con cores=38, threads=1, width=10000, height=10000, time=3.118892
Eseguito con cores=39, threads=1, width=10000, height=10000, time=3.058643
Eseguito con cores=40, threads=1, width=10000, height=10000, time=2.973706
Eseguito con cores=41, threads=1, width=10000, height=10000, time=2.924851
Eseguito con cores=42, threads=1, width=10000, height=10000, time=2.833679
Eseguito con cores=43, threads=1, width=10000, height=10000, time=2.791738
Eseguito con cores=44, threads=1, width=10000, height=10000, time=2.713930
Eseguito con cores=45, threads=1, width=10000, height=10000, time=2.667394
Eseguito con cores=46, threads=1, width=10000, height=10000, time=2.601843
